date,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,home_pen_score,away_id,away_score,away_name,away_long_name,away_pen_score,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_status_aggregated_str,match_status_awarded,match_time_ts,match_tv,internal_rank,live_rank,simple_league,parent_league_id,is_group,group_name,parent_league_name
2021-10-30,GER,54,54,1. Bundesliga,3624429,54,30.10.2021 15:30,9789,2,Dortmund,Borussia Dortmund,,8722,0,Köln,1. FC Köln,,,6,10,TRUE,TRUE,FALSE,2 - 0,"Oct 30, 2021",30. Oct.,FT,Full-Time,,,,1635582600000,,20,100,FALSE,,,,
2021-10-30,GER,54,54,1. Bundesliga,3624424,54,30.10.2021 15:30,8358,3,Freiburg,Freiburg,,8357,1,Greuther Fürth,Greuther Fürth,,,6,10,TRUE,TRUE,FALSE,3 - 1,"Oct 30, 2021",30. Oct.,FT,Full-Time,,,,1635582600000,,20,100,FALSE,,,,
2021-10-30,GER,54,54,1. Bundesliga,3624426,54,30.10.2021 15:30,8149,2,Union Berlin,Union Berlin,,9823,5,Bayern München,Bayern München,,,6,10,TRUE,TRUE,FALSE,2 - 5,"Oct 30, 2021",30. Oct.,FT,Full-Time,,,,1635582600000,,20,100,FALSE,,,,
2021-10-30,GER,54,54,1. Bundesliga,3624428,54,30.10.2021 18:30,9810,1,Frankfurt,Eintracht Frankfurt,,178475,1,RB Leipzig,RB Leipzig,,,6,10,TRUE,TRUE,FALSE,1 - 1,"Oct 30, 2021",30. Oct.,FT,Full-Time,,,,1635593400000,,20,100,FALSE,,,,
2021-10-31,GER,54,54,1. Bundesliga,3624422,54,31.10.2021 15:30,8406,4,Augsburg,Augsburg,,10269,1,VfB Stuttgart,VfB Stuttgart,,,6,10,TRUE,TRUE,FALSE,4 - 1,"Oct 31, 2021",31. Oct.,FT,Full-Time,,,,1635672600000,,20,100,FALSE,,,,
2021-10-31,GER,54,54,1. Bundesliga,3624425,54,31.10.2021 17:30,9788,2,M'gladbach,Borussia M'Gladbach,,9911,1,Bochum,Bochum,,,6,10,TRUE,TRUE,FALSE,2 - 1,"Oct 31, 2021",31. Oct.,FT,Full-Time,,,,1635679800000,,20,100,FALSE,,,,
2021-11-05,GER,54,54,1. Bundesliga,3624434,54,05.11.2021 20:30,9905,1,Mainz,Mainz 05,,9788,1,M'gladbach,Borussia M'Gladbach,,,6,11,TRUE,TRUE,FALSE,1 - 1,"Nov 5, 2021",5. Nov.,FT,Full-Time,,,,1636122600000,,20,100,FALSE,,,,
2021-11-06,GER,54,54,1. Bundesliga,3624438,54,06.11.2021 15:30,9823,2,Bayern München,Bayern München,,8358,1,Freiburg,Freiburg,,,6,11,TRUE,TRUE,FALSE,2 - 1,"Nov 6, 2021",6. Nov.,FT,Full-Time,,,,1636191000000,,20,100,FALSE,,,,
2021-11-06,GER,54,54,1. Bundesliga,3624431,54,06.11.2021 15:30,9911,2,Bochum,Bochum,,8226,0,Hoffenheim,TSG Hoffenheim,,,6,11,TRUE,TRUE,FALSE,2 - 0,"Nov 6, 2021",6. Nov.,FT,Full-Time,,,,1636191000000,,20,100,FALSE,,,,
2021-11-06,GER,54,54,1. Bundesliga,3624435,54,06.11.2021 15:30,10269,0,VfB Stuttgart,VfB Stuttgart,,9912,1,Arminia Bielefeld,Arminia Bielefeld,,,6,11,TRUE,TRUE,FALSE,0 - 1,"Nov 6, 2021",6. Nov.,FT,Full-Time,,,,1636191000000,,20,100,FALSE,,,,
