"competition_type","competition_name","country","gender","governing_body","first_season","last_season","tier","comp_url","seasons","season_end_year","seasons_urls","fixtures_url","is_completed","filter_out"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1995-1996","1996","https://fbref.com/en/comps/8/1995-1996/1995-1996-Champions-League-Stats","https://fbref.com/en/comps/8/1995-1996/schedule/1995-1996-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1994-1995","1995","https://fbref.com/en/comps/8/1994-1995/1994-1995-Champions-League-Stats","https://fbref.com/en/comps/8/1994-1995/schedule/1994-1995-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1993-1994","1994","https://fbref.com/en/comps/8/1993-1994/1993-1994-Champions-League-Stats","https://fbref.com/en/comps/8/1993-1994/schedule/1993-1994-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1992-1993","1993","https://fbref.com/en/comps/8/1992-1993/1992-1993-Champions-League-Stats","https://fbref.com/en/comps/8/1992-1993/schedule/1992-1993-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1991-1992","1992","https://fbref.com/en/comps/8/1991-1992/1991-1992-Champions-League-Stats","https://fbref.com/en/comps/8/1991-1992/schedule/1991-1992-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1990-1991","1991","https://fbref.com/en/comps/8/1990-1991/1990-1991-Champions-League-Stats","https://fbref.com/en/comps/8/1990-1991/schedule/1990-1991-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2022-2023","2023","https://fbref.com/en/comps/19/Europa-League-Stats","https://fbref.com/en/comps/19/schedule/Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2021-2022","2022","https://fbref.com/en/comps/19/2021-2022/2021-2022-Europa-League-Stats","https://fbref.com/en/comps/19/2021-2022/schedule/2021-2022-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2020-2021","2021","https://fbref.com/en/comps/19/2020-2021/2020-2021-Europa-League-Stats","https://fbref.com/en/comps/19/2020-2021/schedule/2020-2021-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2019-2020","2020","https://fbref.com/en/comps/19/2019-2020/2019-2020-Europa-League-Stats","https://fbref.com/en/comps/19/2019-2020/schedule/2019-2020-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2018-2019","2019","https://fbref.com/en/comps/19/2018-2019/2018-2019-Europa-League-Stats","https://fbref.com/en/comps/19/2018-2019/schedule/2018-2019-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2017-2018","2018","https://fbref.com/en/comps/19/2017-2018/2017-2018-Europa-League-Stats","https://fbref.com/en/comps/19/2017-2018/schedule/2017-2018-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2016-2017","2017","https://fbref.com/en/comps/19/2016-2017/2016-2017-Europa-League-Stats","https://fbref.com/en/comps/19/2016-2017/schedule/2016-2017-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2015-2016","2016","https://fbref.com/en/comps/19/2015-2016/2015-2016-Europa-League-Stats","https://fbref.com/en/comps/19/2015-2016/schedule/2015-2016-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2014-2015","2015","https://fbref.com/en/comps/19/2014-2015/2014-2015-Europa-League-Stats","https://fbref.com/en/comps/19/2014-2015/schedule/2014-2015-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2013-2014","2014","https://fbref.com/en/comps/19/2013-2014/2013-2014-Europa-League-Stats","https://fbref.com/en/comps/19/2013-2014/schedule/2013-2014-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2012-2013","2013","https://fbref.com/en/comps/19/2012-2013/2012-2013-Europa-League-Stats","https://fbref.com/en/comps/19/2012-2013/schedule/2012-2013-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2011-2012","2012","https://fbref.com/en/comps/19/2011-2012/2011-2012-Europa-League-Stats","https://fbref.com/en/comps/19/2011-2012/schedule/2011-2012-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2010-2011","2011","https://fbref.com/en/comps/19/2010-2011/2010-2011-Europa-League-Stats","https://fbref.com/en/comps/19/2010-2011/schedule/2010-2011-Europa-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Europa League",NA,"M","UEFA","1990-1991","2022-2023",NA,"https://fbref.com/en/comps/19/history/Europa-League-Seasons","2009-2010","2010","https://fbref.com/en/comps/19/2009-2010/2009-2010-Europa-League-Stats","https://fbref.com/en/comps/19/2009-2010/schedule/2009-2010-Europa-League-Scores-and-Fixtures","TRUE","N"
