"player_name","player_dob","player_url","tm_surname","tm_yob"
"Antonino Barillà",1988-04-01,"https://www.transfermarkt.com/antonino-barilla/profil/spieler/39828","Barillà",1988
"Antonino Gallo",2000-01-05,"https://www.transfermarkt.com/antonino-gallo/profil/spieler/392516","Gallo",2000
"Antonino La Gumina",1996-03-06,"https://www.transfermarkt.com/antonino-la-gumina/profil/spieler/287876","Gumina",1996
"Antonino Ragusa",1990-03-27,"https://www.transfermarkt.com/antonino-ragusa/profil/spieler/102470","Ragusa",1990
"Antonio Adán",1987-05-13,"https://www.transfermarkt.com/antonio-adan/profil/spieler/44062","Adán",1987
"Antonio Aranda",2000-10-07,"https://www.transfermarkt.com/antonio-aranda/profil/spieler/631223","Aranda",2000
"Antonio Balzano",1986-06-13,"https://www.transfermarkt.com/antonio-balzano/profil/spieler/160825","Balzano",1986
"Antonio Barragán",1987-06-12,"https://www.transfermarkt.com/antonio-barragan/profil/spieler/32522","Barragán",1987
"Antonio Barreca",1995-03-18,"https://www.transfermarkt.com/antonio-barreca/profil/spieler/241889","Barreca",1995
"Antonio Blanco",2000-07-23,"https://www.transfermarkt.com/antonio-blanco/profil/spieler/495621","Blanco",2000
"Antonio Candela",2000-04-27,"https://www.transfermarkt.com/antonio-candela/profil/spieler/392881","Candela",2000
"Antonio Candreva",1987-02-28,"https://www.transfermarkt.com/antonio-candreva/profil/spieler/25488","Candreva",1987
"Antonio Caracciolo",1990-06-30,"https://www.transfermarkt.com/antonio-caracciolo/profil/spieler/149525","Caracciolo",1990
"Antonio Cinelli",1989-12-08,"https://www.transfermarkt.com/antonio-cinelli/profil/spieler/73920","Cinelli",1989
"Antonio Cioffi",2002-12-19,"https://www.transfermarkt.com/antonio-cioffi/profil/spieler/566936","Cioffi",2002
"Antonio Colak",1993-09-17,"https://www.transfermarkt.com/antonio-colak/profil/spieler/160668","Colak",1993
"Antonio Cotán",1995-09-19,"https://www.transfermarkt.com/antonio-cotan/profil/spieler/199330","Cotán",1995
"Antonio D'Alena",1998-02-24,"https://www.transfermarkt.com/antonio-dalena/profil/spieler/391408","D'Alena",1998
"Antonio Di Gaudio",1989-08-16,"https://www.transfermarkt.com/antonio-di-gaudio/profil/spieler/165722","Gaudio",1989
