"Player","Born","Url","player_dob","player_url"
"Churripi",1994,"https://fbref.com/en/players/81a606fc/Churripi",NA,NA
"Cifu",1990,"https://fbref.com/en/players/90f83973/Cifu",NA,NA
"Ciprian Tătărușanu",1986,"https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu",NA,NA
"Cristian",1998,"https://fbref.com/en/players/9ad74b4d/Cristian",NA,NA
"Cucho",1999,"https://fbref.com/en/players/71b47ab9/Cucho",NA,NA
"Dalbert Henrique",1993,"https://fbref.com/en/players/f45f9427/Dalbert-Henrique",NA,NA
"Damian Kądzior",1992,"https://fbref.com/en/players/bb6c6331/Damian-Kadzior",NA,NA
"Dan Nlundulu",1999,"https://fbref.com/en/players/30040f5d/Dan-Nlundulu",NA,NA
"Daniel Molina Orta",1996,"https://fbref.com/en/players/102fda08/Daniel-Molina-Orta",NA,NA
"Daniel Pavlović",1988,"https://fbref.com/en/players/47146acb/Daniel-Pavlovic",NA,NA
"Danijel Milićević",1986,"https://fbref.com/en/players/1251f42e/Danijel-Milicevic",NA,NA
"Danijel Petković",1993,"https://fbref.com/en/players/b98cea65/Danijel-Petkovic",NA,NA
"Danijel Subašić",1984,"https://fbref.com/en/players/f6db3bd5/Danijel-Subasic",NA,NA
"Danilo Larangeira",1984,"https://fbref.com/en/players/fed5f993/Danilo-Larangeira",NA,NA
"Darko Brašanac",1992,"https://fbref.com/en/players/4accb7e0/Darko-Brasanac",NA,NA
"Darko Lazović",1990,"https://fbref.com/en/players/5128bde4/Darko-Lazovic",NA,NA
"Dejan Dražić",1995,"https://fbref.com/en/players/e9457fb9/Dejan-Drazic",NA,NA
"Dejan Joveljić",1999,"https://fbref.com/en/players/95a24690/Dejan-Joveljic",NA,NA
"Dejan Vokič",1996,"https://fbref.com/en/players/6c145d64/Dejan-Vokic",NA,NA
"Denis Drăguș",1999,"https://fbref.com/en/players/0e490f6e/Denis-Dragus",NA,NA
"Denis Petrić",1988,"https://fbref.com/en/players/dab1b8dc/Denis-Petric",NA,NA
"Dennis Cirken",2002,"https://fbref.com/en/players/307ea3b6/Dennis-Cirken",NA,NA
"Dennis Eckert",1997,"https://fbref.com/en/players/7f8fb807/Dennis-Eckert",NA,NA
"Derek Mazou-Sacko",2004,"https://fbref.com/en/players/810edef9/Derek-Mazou-Sacko",NA,NA
"Diego Noguerol",2002,"https://fbref.com/en/players/c487901c/Diego-Noguerol",NA,NA
"Dion Moise Sahi",2001,"https://fbref.com/en/players/cdc4458b/Dion-Moise-Sahi",NA,NA
"Dodi Lukebakio",1997,"https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio",NA,NA
"Domagoj Bradarić",1999,"https://fbref.com/en/players/8bbe2df5/Domagoj-Bradaric",NA,NA
"Dominic Schmidt",2001,"https://fbref.com/en/players/49aba599/Dominic-Schmidt",NA,NA
"Dragan Rosić",1996,"https://fbref.com/en/players/b614c059/Dragan-Rosic",NA,NA
"Duje Ćaleta-Car",1996,"https://fbref.com/en/players/94f8d10c/Duje-Caleta-Car",NA,NA
"Duje Čop",1990,"https://fbref.com/en/players/8b0b02c9/Duje-Cop",NA,NA
"Dušan Tadić",1988,"https://fbref.com/en/players/2475dcc6/Dusan-Tadic",NA,NA
"Dušan Vlahović",2000,"https://fbref.com/en/players/79443529/Dusan-Vlahovic",NA,NA
"Dwight Gayle",1990,"https://fbref.com/en/players/e58a03c6/Dwight-Gayle",NA,NA
"Dženis Burnić",1998,"https://fbref.com/en/players/0dabaf14/Dzenis-Burnic",NA,NA
"Echu",1998,"https://fbref.com/en/players/ac7ff117/Echu",NA,NA
"Edin Džeko",1986,"https://fbref.com/en/players/3bb7f478/Edin-Dzeko",NA,NA
"Edmilson Indjai",2000,"https://fbref.com/en/players/bc50c437/Edmilson-Indjai",NA,NA
"Eduardo Carvalho",1982,"https://fbref.com/en/players/81b906e7/Eduardo-Carvalho",NA,NA
"Eduardo Dos Santos Haesler",1999,"https://fbref.com/en/players/1b9a46d1/Eduardo-Dos-Santos-Haesler",NA,NA
"Eduardo Frías Molleda",1998,"https://fbref.com/en/players/0dce7191/Eduardo-Frias-Molleda",NA,NA
"Eldin Jakupović",1984,"https://fbref.com/en/players/1148323a/Eldin-Jakupovic",NA,NA
"Eliseo Falcon",1997,"https://fbref.com/en/players/904cd50d/Eliseo-Falcon",NA,NA
"Elvis Rexhbeçaj",1997,"https://fbref.com/en/players/1ae836b1/Elvis-Rexhbecaj",NA,NA
"Emerson",1999,"https://fbref.com/en/players/df8b52a5/Emerson",NA,NA
"Emerson Palmieri",1994,"https://fbref.com/en/players/e0bc6fdc/Emerson-Palmieri",NA,NA
"Emile Smith-Rowe",2000,"https://fbref.com/en/players/17695062/Emile-Smith-Rowe",NA,NA
"Emmanuel Agyemang-Badu",1990,"https://fbref.com/en/players/fe0b8f0e/Emmanuel-Agyemang-Badu",NA,NA
"Emmanuel Torres",1992,"https://fbref.com/en/players/e774f02a/Emmanuel-Torres",NA,NA
"Emre Çolak",1991,"https://fbref.com/en/players/643b39a6/Emre-Colak",NA,NA
"Eñaut Mendía",1999,"https://fbref.com/en/players/aa7da569/Enaut-Mendia",NA,NA
"Enzo Fernández",1995,"https://fbref.com/en/players/4cafb146/Enzo-Fernandez",NA,NA
"Eren Dinkçi",2001,"https://fbref.com/en/players/4ccd8957/Eren-Dinkci",NA,NA
"Erhan Mašović",1998,"https://fbref.com/en/players/a396fb61/Erhan-Masovic",NA,NA
"Ermedin Demirović",1998,"https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic",NA,NA
"Ermin Bičakčić",1990,"https://fbref.com/en/players/7aac47fe/Ermin-Bicakcic",NA,NA
"Ervin Zukanović",1987,"https://fbref.com/en/players/1253a12e/Ervin-Zukanovic",NA,NA
"Espeto",1997,"https://fbref.com/en/players/674cfc5a/Espeto",NA,NA
"Etxebarría",1996,"https://fbref.com/en/players/5c56ca54/Etxebarria",NA,NA
"Eugeni Valderrama",1994,"https://fbref.com/en/players/a75b4071/Eugeni-Valderrama",NA,NA
"Euse",2000,"https://fbref.com/en/players/4aab1808/Euse",NA,NA
"Ewandro",1996,"https://fbref.com/en/players/ab11c58a/Ewandro",NA,NA
"Fabián Ruiz Peña",1996,"https://fbref.com/en/players/c0c7ff58/Fabian-Ruiz-Pena",NA,NA
"Fabian Rüth",2001,"https://fbref.com/en/players/3f2541c0/Fabian-Ruth",NA,NA
"Fabricio",1987,"https://fbref.com/en/players/af245161/Fabricio",NA,NA
"Fahad Al Muwallad",1994,"https://fbref.com/en/players/23f32ea1/Fahad-Al-Muwallad",NA,NA
"Fahad Al-Muwallad",1996,"https://fbref.com/en/players/81d0eeac/Fahad-Al-Muwallad",NA,NA
"Federico Palacios Martínez",1995,"https://fbref.com/en/players/434cf5b7/Federico-Palacios-Martinez",NA,NA
"Felipe dal Belo",1984,"https://fbref.com/en/players/8cea6319/Felipe-dal-Belo",NA,NA
"Fernando",1987,"https://fbref.com/en/players/41f32541/Fernando",NA,NA
"Filip Benković",1997,"https://fbref.com/en/players/305a3820/Filip-Benkovic",NA,NA
"Filip Bradarić",1992,"https://fbref.com/en/players/605873e1/Filip-Bradaric",NA,NA
"Filip Đorđević",1987,"https://fbref.com/en/players/dfb933e0/Filip-Djordjevic",NA,NA
"Filip Đuričić",1992,"https://fbref.com/en/players/eccbe56a/Filip-Djuricic",NA,NA
"Filip Jagiełło",1997,"https://fbref.com/en/players/4cdcbc14/Filip-Jagiello",NA,NA
"Filip Kostić",1992,"https://fbref.com/en/players/b1cd37e6/Filip-Kostic",NA,NA
"Filip Krovinović",1995,"https://fbref.com/en/players/c2dfedeb/Filip-Krovinovic",NA,NA
"Filip Kusić",1996,"https://fbref.com/en/players/de1a2530/Filip-Kusic",NA,NA
"Filip Malbašić",1992,"https://fbref.com/en/players/04981123/Filip-Malbasic",NA,NA
"Filip Manojlović",1996,"https://fbref.com/en/players/8d2e1890/Filip-Manojlovic",NA,NA
"Filip Vaško",1999,"https://fbref.com/en/players/8ffe9134/Filip-Vasko",NA,NA
"Florentino Luís",1999,"https://fbref.com/en/players/881cd6be/Florentino-Luis",NA,NA
"Fran Álvarez",1998,"https://fbref.com/en/players/f0101a48/Fran-Alvarez",NA,NA
"Franchu Feuillassier",1998,"https://fbref.com/en/players/615667bb/Franchu-Feuillassier",NA,NA
"Francisco Garcia",1999,"https://fbref.com/en/players/7226539b/Francisco-Garcia",NA,NA
"Francisco Reis Ferreira",1997,"https://fbref.com/en/players/4b3c863f/Francisco-Reis-Ferreira",NA,NA
"Frederik Ibsen",1999,"https://fbref.com/en/players/95827107/Frederik-Ibsen",NA,NA
"Frederik Rønnow",1992,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow",NA,NA
"Frederik Sørensen",1992,"https://fbref.com/en/players/68635c10/Frederik-Sorensen",NA,NA
"Gabri",1996,"https://fbref.com/en/players/ff422f76/Gabri",NA,NA
"Gabriel Dos Santos",1997,"https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos",NA,NA
"Gaizka Campos Bahillo",1997,"https://fbref.com/en/players/54a9bc73/Gaizka-Campos-Bahillo",NA,NA
"Gavi Paez",2004,"https://fbref.com/en/players/19cae58d/Gavi-Paez",NA,NA
"George Pușcaș",1996,"https://fbref.com/en/players/c23c8e0d/George-Puscas",NA,NA
"Geovanni",2001,"https://fbref.com/en/players/e66e73b1/Geovanni",NA,NA
"Gil-Linnart Walther",2003,"https://fbref.com/en/players/9cd6a9f9/Gil-Linnart-Walther",NA,NA
"Giorgos Kiriakopoulos",1996,"https://fbref.com/en/players/0a483542/Giorgos-Kiriakopoulos",NA,NA
"Giovanni",1999,"https://fbref.com/en/players/3a1703eb/Giovanni",NA,NA
"Giuliano Simeone",2002,"https://fbref.com/en/players/a6536561/Giuliano-Simeone",NA,NA
"Gojko Kačar",1987,"https://fbref.com/en/players/cc58c4ea/Gojko-Kacar",NA,NA
"Göktan Gürpüz",2003,"https://fbref.com/en/players/199f7008/Goktan-Gurpuz",NA,NA
"Gonzalo",1997,"https://fbref.com/en/players/cca05da8/Gonzalo",NA,NA
"Gori",2002,"https://fbref.com/en/players/f3451c66/Gori",NA,NA
"Gustavo Assuncao",2000,"https://fbref.com/en/players/065c8786/Gustavo-Assuncao",NA,NA
"Guy Ngosso",1985,"https://fbref.com/en/players/34cfec6b/Guy-Ngosso",NA,NA
"Gylfi Sigurðsson",1989,"https://fbref.com/en/players/76dd1480/Gylfi-Sigurdsson",NA,NA
"Habib Keita",2002,"https://fbref.com/en/players/cc588cbe/Habib-Keita",NA,NA
"Hakan Çalhanoğlu",1994,"https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu",NA,NA
"Halil Dervişoğlu",1999,"https://fbref.com/en/players/9d8cf204/Halil-Dervisoglu",NA,NA
"Han Kwang-song",1998,"https://fbref.com/en/players/87243064/Han-Kwang-song",NA,NA
"Haris Duljević",1993,"https://fbref.com/en/players/9b6556d2/Haris-Duljevic",NA,NA
"Harvey Elliot",2003,"https://fbref.com/en/players/c8387671/Harvey-Elliot",NA,NA
"Hernán",1990,"https://fbref.com/en/players/8c83efb6/Hernan",NA,NA
"Hernâni Fortes",1991,"https://fbref.com/en/players/2327c29e/Hernani-Fortes",NA,NA
"Hrvoje Milić",1989,"https://fbref.com/en/players/1b625237/Hrvoje-Milic",NA,NA
"Hugo Hagege",1999,"https://fbref.com/en/players/d00fe9a3/Hugo-Hagege",NA,NA
"Hugo Perez",2002,"https://fbref.com/en/players/7cfbe2c9/Hugo-Perez",NA,NA
"Hwang Hee-chan",1996,"https://fbref.com/en/players/169fd162/Hwang-Hee-chan",NA,NA
"Hwang Ui-jo",1992,"https://fbref.com/en/players/a2d873dd/Hwang-Ui-jo",NA,NA
"Ían Pino",1996,"https://fbref.com/en/players/40585058/Ian-Pino",NA,NA
"Ignacio Pastor",2003,"https://fbref.com/en/players/e8000733/Ignacio-Pastor",NA,NA
"Ignasi Vilarrasa",1997,"https://fbref.com/en/players/b261ed19/Ignasi-Vilarrasa",NA,NA
"Igor Carioca",1996,"https://fbref.com/en/players/e3e32fbb/Igor-Carioca",NA,NA
"Iker Recio",2001,"https://fbref.com/en/players/84b7090a/Iker-Recio",NA,NA
"Ilaix",2003,"https://fbref.com/en/players/f4c69aa6/Ilaix",NA,NA
"İlkay Gündoğan",1990,"https://fbref.com/en/players/819b3158/Ilkay-Gundogan",NA,NA
"Iñaki",1997,"https://fbref.com/en/players/036336ce/Inaki",NA,NA
"Iron Gomis",1999,"https://fbref.com/en/players/1d50130f/Iron-Gomis",NA,NA
"Isaac Carcelen",1993,"https://fbref.com/en/players/c4b888df/Isaac-Carcelen",NA,NA
"Isaac Palazón Camacho",1994,"https://fbref.com/en/players/49dbab27/Isaac-Palazon-Camacho",NA,NA
"Isaias Del Pupo",2001,"https://fbref.com/en/players/a42aebea/Isaias-Del-Pupo",NA,NA
"Ismael",2000,"https://fbref.com/en/players/19cdceb0/Ismael",NA,NA
"Ismaël Diomandé",1992,"https://fbref.com/en/players/10650926/Ismael-Diomande",NA,NA
"İsmail Köybaşı",1989,"https://fbref.com/en/players/58640e66/Ismail-Koybasi",NA,NA
"Issah Abbas",1998,"https://fbref.com/en/players/2590ddf7/Issah-Abbas",NA,NA
"Ivan Ilić",2001,"https://fbref.com/en/players/bb376bed/Ivan-Ilic",NA,NA
"Ivan Lakićević",1993,"https://fbref.com/en/players/47508c51/Ivan-Lakicevic",NA,NA
"Ivan Perišić",1989,"https://fbref.com/en/players/6fe90922/Ivan-Perisic",NA,NA
"Ivan Radovanović",1988,"https://fbref.com/en/players/023937a9/Ivan-Radovanovic",NA,NA
"Ivan Rakitić",1988,"https://fbref.com/en/players/89f951b5/Ivan-Rakitic",NA,NA
"Ivan Šaponjić",1997,"https://fbref.com/en/players/d2aea9ac/Ivan-Saponjic",NA,NA
"Ivan Strinić",1987,"https://fbref.com/en/players/52e2ef8f/Ivan-Strinic",NA,NA
"Ivan Vargić",1987,"https://fbref.com/en/players/4d64b28e/Ivan-Vargic",NA,NA
"Ivi",1994,"https://fbref.com/en/players/d2fa73e7/Ivi",NA,NA
"Ivo Grbić",1996,"https://fbref.com/en/players/3f034750/Ivo-Grbic",NA,NA
"Ivo Iličević",1986,"https://fbref.com/en/players/4e3e4138/Ivo-Ilicevic",NA,NA
"Izet Hajrović",1991,"https://fbref.com/en/players/55537f53/Izet-Hajrovic",NA,NA
"Jacobo",1997,"https://fbref.com/en/players/09e81276/Jacobo",NA,NA
"Jaden Philogene Bidace",2002,"https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace",NA,NA
"Jagoš Vuković",1988,"https://fbref.com/en/players/ba06950a/Jagos-Vukovic",NA,NA
"Jaime Sierra Mateos",1998,"https://fbref.com/en/players/aaa4239e/Jaime-Sierra-Mateos",NA,NA
"Jakob Sørensen",1998,"https://fbref.com/en/players/953c30b0/Jakob-Sorensen",NA,NA
"Jakub Błaszczykowski",1985,"https://fbref.com/en/players/2b350e6b/Jakub-Blaszczykowski",NA,NA
"Jaroslav Drobný",1979,"https://fbref.com/en/players/e4a30d8c/Jaroslav-Drobny",NA,NA
"Jaroslav Plašil",1982,"https://fbref.com/en/players/516dc25b/Jaroslav-Plasil",NA,NA
"Jasmin Kurtić",1989,"https://fbref.com/en/players/144607cc/Jasmin-Kurtic",NA,NA
"Javi",1998,"https://fbref.com/en/players/9a76c2e9/Javi",NA,NA
"Javier Hernández",1988,"https://fbref.com/en/players/189cee7b/Javier-Hernandez",NA,NA
"Javier Serrano",2003,"https://fbref.com/en/players/0a8fd9cb/Javier-Serrano",NA,NA
"Javito Lopez",NA,"https://fbref.com/en/players/7518f912/Javito-Lopez",NA,NA
"Jay Rodriguez",1989,"https://fbref.com/en/players/4ab53cdb/Jay-Rodriguez",NA,NA
"Jean-Daniel Akpa-Akpro",1992,"https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro",NA,NA
"Jens Jønsson",1993,"https://fbref.com/en/players/53520a67/Jens-Jonsson",NA,NA
"Jeong Woo-yeong",1999,"https://fbref.com/en/players/6190474d/Jeong-Woo-yeong",NA,NA
"Jérémie Porsan-Clémenté",1997,"https://fbref.com/en/players/fa27b5a0/Jeremie-Porsan-Clemente",NA,NA
"Jerome Onguene",1997,"https://fbref.com/en/players/e81f0356/Jerome-Onguene",NA,NA
"Jesper Lindstrøm",2000,"https://fbref.com/en/players/37dc1a48/Jesper-Lindstrom",NA,NA
"Jessy Bénet",1995,"https://fbref.com/en/players/6278e149/Jessy-Benet",NA,NA
"Jesuran Rak Sakyi",2002,"https://fbref.com/en/players/45685411/Jesuran-Rak-Sakyi",NA,NA
"Jesus Vazquez",2003,"https://fbref.com/en/players/106c142c/Jesus-Vazquez",NA,NA
"Ji Dong-won",1991,"https://fbref.com/en/players/7d841904/Ji-Dong-won",NA,NA
"Jime",1999,"https://fbref.com/en/players/227c27df/Jime",NA,NA
"Jiří Skalák",1992,"https://fbref.com/en/players/beaec218/Jiri-Skalak",NA,NA
"Joakim Mæhle",1997,"https://fbref.com/en/players/c459a650/Joakim-Maehle",NA,NA
"Joan Sastre Vanrell",1997,"https://fbref.com/en/players/f9acf8bf/Joan-Sastre-Vanrell",NA,NA
