"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"MLS","Americas","United States",2021,"Los Angeles Galaxy","Kelvin Leerdam","Right-Back",1990-06-24,"Suriname",6e+05,"https://www.transfermarkt.com/kelvin-leerdam/profil/spieler/92936","Leerdam","1990"
"MLS","Americas","United States",2021,"Seattle Sounders FC","Kelyn Rowe","Central Midfield",1991-12-02,"United States",750000,"https://www.transfermarkt.com/kelyn-rowe/profil/spieler/183118","Rowe","1991"
"MLS","Americas","United States",2021,"Minnesota United FC","Kemar Lawrence","Left-Back",1992-09-17,"Jamaica",750000,"https://www.transfermarkt.com/kemar-lawrence/profil/spieler/288710","Lawrence","1992"
"MLS","Americas","United States",2018,"CF Montréal","Ken Krolicki","Central Midfield",1996-03-15,"Japan",5e+05,"https://www.transfermarkt.com/ken-krolicki/profil/spieler/570049","Krolicki","1996"
"MLS","Americas","United States",2019,"Nashville SC","Ken Tribbett","Centre-Back",1992-08-28,"United States",3e+05,"https://www.transfermarkt.com/ken-tribbett/profil/spieler/271662","Tribbett","1992"
"MLS","Americas","United States",2021,"Chicago Fire FC","Kendall Burks","Centre-Back",1999-10-08,"United States",50000,"https://www.transfermarkt.com/kendall-burks/profil/spieler/972462","Burks","1999"
"MLS","Americas","United States",2021,"Sporting Kansas City","Kendall McIntosh","Goalkeeper",1994-01-24,"United States",2e+05,"https://www.transfermarkt.com/kendall-mcintosh/profil/spieler/189890","McIntosh","1994"
"MLS","Americas","United States",2019,"FC Cincinnati","Kendall Waston","Centre-Back",1988-01-01,"Costa Rica",6e+05,"https://www.transfermarkt.com/kendall-waston/profil/spieler/195540","Waston","1988"
"MLS","Americas","United States",2019,"Chicago Fire FC","Kenneth Kronholm","Goalkeeper",1985-10-14,"United States",325000,"https://www.transfermarkt.com/kenneth-kronholm/profil/spieler/18971","Kronholm","1985"
"MLS","Americas","United States",2021,"FC Cincinnati","Kenneth Vermeer","Goalkeeper",1986-01-10,"Netherlands",250000,"https://www.transfermarkt.com/kenneth-vermeer/profil/spieler/30290","Vermeer","1986"
"MLS","Americas","United States",2018,"FC Cincinnati","Kenny Saief","Right Winger",1993-12-17,"United States",2e+06,"https://www.transfermarkt.com/kenny-saief/profil/spieler/209019","Saief","1993"
"MLS","Americas","United States",2021,"Minnesota United FC","Kervin Arriaga","Defensive Midfield",1998-01-05,"Honduras",2e+05,"https://www.transfermarkt.com/kervin-arriaga/profil/spieler/526050","Arriaga","1998"
"MLS","Americas","United States",2021,"Charlotte FC","Kerwin Vargas","Centre-Forward",2002-01-02,"Colombia",5e+05,"https://www.transfermarkt.com/kerwin-vargas/profil/spieler/907649","Vargas","2002"
"MLS","Americas","United States",2021,"Los Angeles Galaxy","Kévin Cabral","Left Winger",1999-07-10,"France",4500000,"https://www.transfermarkt.com/kevin-cabral/profil/spieler/460632","Cabral","1999"
"MLS","Americas","United States",2018,"Houston Dynamo FC","Kevin Garcia","Centre-Back",1990-08-21,"United States",4e+05,"https://www.transfermarkt.com/kevin-garcia/profil/spieler/271546","Garcia","1990"
"MLS","Americas","United States",2018,"Atlanta United FC","Kevin Kratz","Central Midfield",1987-01-21,"Germany",5e+05,"https://www.transfermarkt.com/kevin-kratz/profil/spieler/42974","Kratz","1987"
"MLS","Americas","United States",2021,"Columbus Crew","Kevin Molino","Right Winger",1990-06-17,"Trinidad and Tobago",1e+06,"https://www.transfermarkt.com/kevin-molino/profil/spieler/123096","Molino","1990"
"MLS","Americas","United States",2021,"New York City FC","Kevin O'Toole","Left-Back",1998-12-14,"United States",50000,"https://www.transfermarkt.com/kevin-otoole/profil/spieler/437874","O'Toole","1998"
