Player,Born,Url,Squad,Nation,player_dob,player_url,tm_squad,tm_nationality,player_position,comp_name,region,country,season_start_year,squad,player_nationality,player_market_value_euro
Ricardo Javier Cruz,1997,https://fbref.com/en/players/d3cfa137/Ricardo-Javier-Cruz,Toluca,mx MEX,24/9/1997,https://www.transfermarkt.com/aldo-cruz/profil/spieler/552960,Atlético de San Luis,Mexico,Left-Back,Liga MX Clausura,Americas,Mexico,2022,,,1200000
Ricardo Javier Cruz,1997,https://fbref.com/en/players/d3cfa137/Ricardo-Javier-Cruz,Toluca,mx MEX,30/8/1997,https://www.transfermarkt.com/ricardo-cruz/profil/spieler/348202,Deportivo Toluca,Mexico,Right-Back,Liga MX Clausura,Americas,Mexico,2019,,,NA
Ricardo Jorge Oliveira Valente,1991,https://fbref.com/en/players/bd52b022/Ricardo-Jorge-Oliveira-Valente,Tondela,pt POR,3/4/1991,https://www.transfermarkt.com/ricardo-valente/profil/spieler/292775,CD Tondela,Portugal,Centre-Forward,Liga Portugal,Europe,Portugal,2019,,,NA
Ricardo Miguel Martins Alves,1991,https://fbref.com/en/players/cc5eeb16/Ricardo-Miguel-Martins-Alves,Tondela,pt POR,9/5/1991,https://www.transfermarkt.com/ricardo-alves/profil/spieler/118323,CD Tondela,Portugal,Centre-Back,Liga Portugal,Europe,Portugal,2021,,,NA
Rodrigo Armando González,1995,https://fbref.com/en/players/059a4e65/Rodrigo-Armando-Gonzalez,Atlético,mx MEX,12/4/1995,https://www.transfermarkt.com/rodrigo-gonzalez/profil/spieler/299024,Atlético de San Luis,Mexico,Centre-Back,Liga MX Clausura,Americas,Mexico,2022,,,NA
Román Martínez,2002,https://fbref.com/en/players/7c0527bb/Roman-Martinez,América,mx MEX,18/8/2002,https://www.transfermarkt.com/arturo-martinez/profil/spieler/745904,CF América,Mexico,Centre-Forward,Liga MX Clausura,Americas,Mexico,2021,,,NA
Rúben Alexandre Gomes Oliveira,1994,https://fbref.com/en/players/0677feec/Ruben-Alexandre-Gomes-Oliveira,Santa Clara,pt POR,14/12/1994,https://www.transfermarkt.com/ruben-oliveira/profil/spieler/275287,CD Santa Clara,Portugal,Attacking Midfield,Liga Portugal,Europe,Portugal,2021,,,NA
Rui Pedro Oliveira Silva,1996,https://fbref.com/en/players/61c1830f/Rui-Pedro-Oliveira-Silva,Santa Clara,pt POR,5/6/1996,https://www.transfermarkt.com/rui-silva/profil/spieler/290290,CD Santa Clara,Portugal,Right-Back,Liga Portugal,Europe,Portugal,2018,,,NA
Samu Costa,2000,https://fbref.com/en/players/76c2a023/Samu-Costa,Braga,pt POR,27/11/2000,https://www.transfermarkt.com/samu-costa/profil/spieler/657430,SC Braga,Portugal,Defensive Midfield,Liga Portugal,Europe,Portugal,2019,,,NA
Sékou Oumar Sylla,1999,https://fbref.com/en/players/95fb78a3/Sekou-Oumar-Sylla,Cambuur,gn GUI,9/1/1999,https://www.transfermarkt.com/sekou-sylla/profil/spieler/587333,SC Cambuur-Leeuwarden,Guinea,Left-Back,Eredivisie,Europe,Netherlands,2022,,,NA
Thiago dos Santos,1989,https://fbref.com/en/players/5408d2b2/Thiago-dos-Santos,Grêmio,br BRA,5/9/1989,https://www.transfermarkt.com/thiago-santos/profil/spieler/346922,Grêmio Foot-Ball Porto Alegrense,Brazil,Defensive Midfield,SÃ©rie A,Americas,Brazil,2020,,,1200000
Tomás Costa Silva,1999,https://fbref.com/en/players/4cf7d718/Tomas-Costa-Silva,Vizela,pt POR,15/10/1999,https://www.transfermarkt.com/tomas-silva/profil/spieler/461939,FC Vizela,Portugal,Central Midfield,Liga Portugal,Europe,Portugal,2022,,,NA
Víctor Hugo García,1994,https://fbref.com/en/players/854f7734/Victor-Hugo-Garcia,Vitória,ve VEN,11/6/1994,https://www.transfermarkt.com/victor-garcia/profil/spieler/195762,Vitória Guimarães SC,Venezuela,Right-Back,Liga Portugal,Europe,Portugal,2019,,,NA
Vinícius Popó,2001,https://fbref.com/en/players/52f61d83/Vinicius-Popo,Sport Recife,br BRA,25/2/2001,https://www.transfermarkt.com/vinicius-popo/profil/spieler/432170,Sport Club do Recife,Brazil,Centre-Forward,SÃ©rie A,Americas,Brazil,2020,,,NA
Vitor Costa,1994,https://fbref.com/en/players/e28ae695/Vitor-Costa,Marítimo,br BRA,1/7/1994,https://www.transfermarkt.com/vitor-costa/profil/spieler/384741,CS Marítimo,Brazil,Left-Back,Liga Portugal,Europe,Portugal,2022,,,NA
Walce Costa,1999,https://fbref.com/en/players/10ec506f/Walce-Costa,São Paulo,br BRA,21/7/1999,https://www.transfermarkt.com/diego-costa/profil/spieler/546212,São Paulo Futebol Clube,Brazil,Centre-Back,SÃ©rie A,Americas,Brazil,2021,,,2500000
ZÉ Pedro,2002,https://fbref.com/en/players/11a33ce9/ZE-Pedro,Braga,pt POR,16/1/2002,https://www.transfermarkt.com/ze-pedro/profil/spieler/744072,SC Braga,Portugal,Centre-Back,Liga Portugal,Europe,Portugal,2020,,,NA
