"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"Liga Portugal","Europe","Portugal",2019,"Vitória Setúbal FC","Frédéric Mendy","Centre-Forward",1988-09-18,"Guinea-Bissau",NA,"https://www.transfermarkt.com/frederic-mendy/profil/spieler/150535","Mendy","1988"
"Liga Portugal","Europe","Portugal",2019,"Vitória Guimarães SC","Frederico Venâncio","Centre-Back",1993-02-04,"Portugal",NA,"https://www.transfermarkt.com/frederico-venancio/profil/spieler/169681","Venâncio","1993"
"Championship",NA,"England",2018,"Sheffield Wednesday","Frederik Fisker Nielsen","Centre-Back",1998-02-07,"Denmark",NA,"https://www.transfermarkt.com/frederik-fisker-nielsen/profil/spieler/293291","Nielsen","1998"
"Eredivisie","Europe","Netherlands",2017,"Sparta Rotterdam","Frederik Holst","Central Midfield",1994-09-24,"Denmark",NA,"https://www.transfermarkt.com/frederik-holst/profil/spieler/135209","Holst","1994"
"Liga Portugal","Europe","Portugal",2022,"SL Benfica","Fredrik Aursnes","Defensive Midfield",1995-12-10,"Norway",1.3e+07,"https://www.transfermarkt.com/fredrik-aursnes/profil/spieler/223367","Aursnes","1995"
"Eredivisie","Europe","Netherlands",2022,"Feyenoord Rotterdam","Fredrik Björkan","Left-Back",1998-08-21,"Norway",1500000,"https://www.transfermarkt.com/fredrik-bjorkan/profil/spieler/364938","Björkan","1998"
"Championship",NA,"England",2020,"Brentford FC","Fredrik Hammar","Central Midfield",2001-02-26,"Sweden",NA,"https://www.transfermarkt.com/fredrik-hammar/profil/spieler/504245","Hammar","2001"
"Eredivisie","Europe","Netherlands",2017,"Twente Enschede FC","Fredrik Jensen","Attacking Midfield",1997-09-09,"Finland",2e+06,"https://www.transfermarkt.com/fredrik-jensen/profil/spieler/249157","Jensen","1997"
"Eredivisie","Europe","Netherlands",2021,"AZ Alkmaar","Fredrik Midtsjö","Central Midfield",1993-08-11,"Norway",6e+06,"https://www.transfermarkt.com/fredrik-midtsjo/profil/spieler/136180","Midtsjö","1993"
"Eredivisie","Europe","Netherlands",2022,"PSV Eindhoven","Fredrik Oppegard","Left-Back",2002-08-07,"Norway",NA,"https://www.transfermarkt.com/fredrik-oppegard/profil/spieler/539665","Oppegard","2002"
"Liga Portugal","Europe","Portugal",2018,"B SAD","Fredy","Central Midfield",1990-03-27,"Angola",1e+06,"https://www.transfermarkt.com/fredy/profil/spieler/87854","Fredy","1990"
"SÃ©rie A","Americas","Brazil",2019,"Club de Regatas Vasco da Gama","Fredy Guarín","Central Midfield",1986-06-30,"Colombia",1600000,"https://www.transfermarkt.com/fredy-guarin/profil/spieler/39090","Guarín","1986"
"Liga Portugal","Europe","Portugal",2018,"Sporting CP","Fredy Montero","Centre-Forward",1987-07-26,"Colombia",2e+06,"https://www.transfermarkt.com/fredy-montero/profil/spieler/73852","Montero","1987"
"Eredivisie","Europe","Netherlands",2021,"Willem II Tilburg","Freek Heerkens","Centre-Back",1989-09-13,"Netherlands",NA,"https://www.transfermarkt.com/freek-heerkens/profil/spieler/88074","Heerkens","1989"
"Eredivisie","Europe","Netherlands",2018,"Ajax Amsterdam","Frenkie de Jong","Central Midfield",1997-05-12,"Netherlands",8.5e+07,"https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330","Jong","1997"
"SÃ©rie A","Americas","Brazil",2017,"Club de Regatas Vasco da Gama","Frickson Erazo","Centre-Back",1988-05-05,"Ecuador",2e+06,"https://www.transfermarkt.com/frickson-erazo/profil/spieler/163434","Erazo","1988"
"Eredivisie","Europe","Netherlands",2018,"De Graafschap Doetinchem","Furdjel Narsingh","Right Winger",1988-03-13,"Netherlands",NA,"https://www.transfermarkt.com/furdjel-narsingh/profil/spieler/64355","Narsingh","1988"
