"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position","comp_name","region","country","season_start_year","squad","player_nationality","player_market_value_euro"
"Juan Martínez","1999","https://fbref.com/en/players/2280fe86/Juan-Martinez","Atlético","mx MEX",1999-02-04,"https://www.transfermarkt.com/pablo-martinez/profil/spieler/737127",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2022,"Atlético de San Luis","Mexico",NA
"Juan Pablo Ramon Gomez Castillo","2001","https://fbref.com/en/players/7330d35e/Juan-Pablo-Ramon-Gomez-Castillo","Puebla","mx MEX",2001-12-02,"https://www.transfermarkt.com/jose-castillo/profil/spieler/811373",NA,NA,"Left-Back","Liga MX Clausura","Americas","Mexico",2022,"CF Pachuca","Mexico",NA
"Juan Pablo Ramon Gomez Castillo","2001","https://fbref.com/en/players/7330d35e/Juan-Pablo-Ramon-Gomez-Castillo","Puebla","mx MEX",2001-05-30,"https://www.transfermarkt.com/raul-castillo/profil/spieler/663290",NA,NA,"Central Midfield","Liga MX Clausura","Americas","Mexico",2022,"Puebla FC","Mexico",NA
"Juan Santos","2002","https://fbref.com/en/players/ad89aa96/Juan-Santos","São Paulo","br BRA",2002-04-23,"https://www.transfermarkt.com/gustavo-santos/profil/spieler/886754",NA,NA,"Left Winger","SÃ©rie A","Americas","Brazil",2021,"Avaí Futebol Clube (SC)","Brazil",NA
"Juan Santos","2002","https://fbref.com/en/players/ad89aa96/Juan-Santos","São Paulo","br BRA",2002-07-23,"https://www.transfermarkt.com/tiago-santos/profil/spieler/816580",NA,NA,"Right-Back","Liga Portugal","Europe","Portugal",2022,"GD Estoril Praia","Portugal",NA
"Julio José González","1991","https://fbref.com/en/players/0124a43a/Julio-Jose-Gonzalez","UNAM","mx MEX",1991-09-08,"https://www.transfermarkt.com/ignacio-gonzalez/profil/spieler/210035",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2018,"Club Atlético Morelia","Mexico",NA
"Julio José González","1991","https://fbref.com/en/players/0124a43a/Julio-Jose-Gonzalez","UNAM","mx MEX",1991-04-23,"https://www.transfermarkt.com/julio-gonzalez/profil/spieler/158327",NA,NA,"Goalkeeper","Liga MX Clausura","Americas","Mexico",2022,"UNAM Pumas","Mexico",NA
"Jurriën Timber","2001","https://fbref.com/en/players/41034650/Jurrien-Timber","Ajax","nl NED",2001-06-17,"https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243",NA,NA,"Centre-Back","Eredivisie","Europe","Netherlands",2022,"Ajax Amsterdam","Netherlands",4.5e+07
"Jurriën Timber","2001","https://fbref.com/en/players/41034650/Jurrien-Timber","Ajax","nl NED",2001-06-17,"https://www.transfermarkt.com/quinten-timber/profil/spieler/420213",NA,NA,"Central Midfield","Eredivisie","Europe","Netherlands",2022,"Feyenoord Rotterdam","Netherlands",8500000
"Kees De Boer","2000","https://fbref.com/en/players/b159fb6c/Kees-De-Boer","ADO Den Haag","nl NED",2000-05-20,"https://www.transfermarkt.com/jan-de-boer/profil/spieler/426142",NA,NA,"Goalkeeper","Eredivisie","Europe","Netherlands",2022,"FC Groningen","Netherlands",NA
"Kees De Boer","2000","https://fbref.com/en/players/b159fb6c/Kees-De-Boer","ADO Den Haag","nl NED",2000-05-13,"https://www.transfermarkt.com/kees-de-boer/profil/spieler/361121",NA,NA,"Central Midfield","Eredivisie","Europe","Netherlands",2020,"ADO Den Haag","Netherlands",NA
"Leandro Emmanuel Martínez","1994","https://fbref.com/en/players/74758396/Leandro-Emmanuel-Martinez","América (MG)","ar ARG",1994-06-04,"https://www.transfermarkt.com/emmanuel-martinez/profil/spieler/360526",NA,NA,"Left Winger","SÃ©rie A","Americas","Brazil",2021,"América Futebol Clube (MG)","Argentina",1200000
"Leandro Emmanuel Martínez","1994","https://fbref.com/en/players/74758396/Leandro-Emmanuel-Martinez","América (MG)","ar ARG",1994-09-11,"https://www.transfermarkt.com/luis-martinez/profil/spieler/344816",NA,NA,"Defensive Midfield","Liga MX Clausura","Americas","Mexico",2017,"Tigres UANL","Mexico",NA
"Leandro Emmanuel Martínez","1994","https://fbref.com/en/players/74758396/Leandro-Emmanuel-Martinez","América (MG)","ar ARG",1994-06-23,"https://www.transfermarkt.com/roger-martinez/profil/spieler/285771",NA,NA,"Left Winger","Liga MX Clausura","Americas","Mexico",2022,"CF América","Colombia",2800000
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-05-15,"https://www.transfermarkt.com/alex-silva/profil/spieler/277713",NA,NA,"Right-Back","SÃ©rie A","Americas","Brazil",2018,"Avaí Futebol Clube (SC)","Brazil",NA
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-03-05,"https://www.transfermarkt.com/gaston-silva/profil/spieler/189452",NA,NA,"Left-Back","Liga MX Clausura","Americas","Mexico",2022,"Puebla FC","Uruguay",1e+06
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-04-25,"https://www.transfermarkt.com/henrique-silva/profil/spieler/204072",NA,NA,"Left-Back","SÃ©rie A","Americas","Brazil",2019,"Club de Regatas Vasco da Gama","Brazil",NA
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-06-29,"https://www.transfermarkt.com/jonathan-silva/profil/spieler/189453",NA,NA,"Left-Back","Liga Portugal","Europe","Portugal",2017,"Sporting CP","Argentina",2800000
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-07-30,"https://www.transfermarkt.com/jordan-silva/profil/spieler/334538",NA,NA,"Centre-Back","Liga MX Clausura","Americas","Mexico",2022,"Querétaro FC","Mexico",1e+06
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-05-04,"https://www.transfermarkt.com/leandro-silva/profil/spieler/182720",NA,NA,"Central Midfield","Liga Portugal","Europe","Portugal",2021,"FC Arouca","Portugal",NA
"Leandro Miguel Pereira Silva","1994","https://fbref.com/en/players/0488e49f/Leandro-Miguel-Pereira-Silva","Arouca","pt POR",1994-12-28,"https://www.transfermarkt.com/walterson-silva/profil/spieler/516127",NA,NA,"Left Winger","Liga Portugal","Europe","Portugal",2021,"Moreirense FC","Brazil",NA
"Leiton Jiménez","1989","https://fbref.com/en/players/a3f53eb9/Leiton-Jimenez","Veracruz","co COL",1989-08-13,"https://www.transfermarkt.com/israel-jimenez/profil/spieler/81950",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2020,"Mazatlán FC","Mexico",NA
"Leiton Jiménez","1989","https://fbref.com/en/players/a3f53eb9/Leiton-Jimenez","Veracruz","co COL",1989-04-26,"https://www.transfermarkt.com/leiton-jimenez/profil/spieler/119245",NA,NA,"Centre-Back","Liga MX Apertura","Americas","Mexico",2019,"Tiburones Rojos de Veracruz","Colombia",NA
"Leo Augusto Pereira","2000","https://fbref.com/en/players/a3818875/Leo-Augusto-Pereira","Atl Goianiense","br BRA",2000-06-29,"https://www.transfermarkt.com/leo-pereira/profil/spieler/726472",NA,NA,"Right Winger","SÃ©rie A","Americas","Brazil",2021,"Atlético Clube Goianiense","Brazil",1e+06
"Leo Augusto Pereira","2000","https://fbref.com/en/players/a3818875/Leo-Augusto-Pereira","Atl Goianiense","br BRA",2000-04-21,"https://www.transfermarkt.com/luan-pereira/profil/spieler/527394",NA,NA,"Central Midfield","SÃ©rie A","Americas","Brazil",2018,"Avaí Futebol Clube (SC)","Brazil",NA
"Leo Augusto Pereira","2000","https://fbref.com/en/players/a3818875/Leo-Augusto-Pereira","Atl Goianiense","br BRA",2000-12-21,"https://www.transfermarkt.com/matheus-pereira/profil/spieler/739438",NA,NA,"Left-Back","Liga Portugal","Europe","Portugal",2022,"FC Vizela","Brazil",NA
"Leo Gomes","1997","https://fbref.com/en/players/69897e09/Leo-Gomes","Chapecoense","br BRA",1997-05-25,"https://www.transfermarkt.com/fabio-gomes/profil/spieler/548298",NA,NA,"Centre-Forward","SÃ©rie A","Americas","Brazil",2021,"Clube Atlético Mineiro","Brazil",1500000
"Leo Gomes","1997","https://fbref.com/en/players/69897e09/Leo-Gomes","Chapecoense","br BRA",1997-04-30,"https://www.transfermarkt.com/leo-gomes/profil/spieler/578630",NA,NA,"Central Midfield","SÃ©rie A","Americas","Brazil",2020,"América Futebol Clube (MG)","Brazil",NA
