Player,Born,Url,player_url
Basil Tuma,2006,https://fbref.com/en/players/ba21f636/Basil-Tuma,https://www.transfermarkt.com/basil-tuma/profil/spieler/937480
Batxi,1998,https://fbref.com/en/players/eca0eede/Batxi,https://www.transfermarkt.com/joao-batxi/profil/spieler/514256
Ben Brereton,1999,https://fbref.com/en/players/57827369/Ben-Brereton,https://www.transfermarkt.com/ben-brereton-diaz/profil/spieler/426192
Ben Kershaw,2003,https://fbref.com/en/players/06bfa737/Ben-Kershaw,https://www.transfermarkt.com/ben-kershaw/profil/spieler/950180
Benjamín Galindo Jr.,1999,https://fbref.com/en/players/ad4632bb/Benjamin-Galindo-Jr,https://www.transfermarkt.com/benjamin-galindo/profil/spieler/552948
Benson Manuel,1997,https://fbref.com/en/players/d7f99582/Benson-Manuel,https://www.transfermarkt.com/benson-manuel-hedilazio/profil/spieler/322702
Bernardo Sousa Pereira Brites Martins,1997,https://fbref.com/en/players/a2b07e59/Bernardo-Sousa-Pereira-Brites-Martins,https://www.transfermarkt.com/bernardo/profil/spieler/450790
Bilal Başaçıkoğlu,1995,https://fbref.com/en/players/b9052bad/Bilal-Basacikoglu,https://www.transfermarkt.com/bilal-basacikoglu/profil/spieler/224256
Billy Mitchell,2000,https://fbref.com/en/players/88ff9db9/Billy-Mitchell,https://www.transfermarkt.com/billy-mitchell/profil/spieler/671821
Blaine Rowe,2001,https://fbref.com/en/players/2bef28e1/Blaine-Rowe,https://www.transfermarkt.com/blaine-rowe/profil/spieler/745156
Brad Hills,2004,https://fbref.com/en/players/9936c8e1/Brad-Hills,https://www.transfermarkt.com/brad-hills/profil/spieler/747574
Bradley Foster-Theniger,2001,https://fbref.com/en/players/6351d472/Bradley-Foster-Theniger,https://www.transfermarkt.com/bradley-foster/profil/spieler/541516
Braima Sambú,2001,https://fbref.com/en/players/f06ac466/Braima-Sambu,https://www.transfermarkt.com/braima/profil/spieler/817527
Brandon Sartiaguin,2000,https://fbref.com/en/players/a9c2e4f5/Brandon-Sartiaguin,https://www.transfermarkt.com/brandon-sartiaguin/profil/spieler/797053
