"Player","Born","Url","player_dob","player_url","player_position"
"Nathan Patterson",2001,"https://fbref.com/en/players/230f0471/Nathan-Patterson",2001-10-16,"https://www.transfermarkt.com/nathan-patterson/profil/spieler/424015","Right-Back"
"Neto Borges",1996,"https://fbref.com/en/players/9f936061/Neto-Borges",1996-09-13,"https://www.transfermarkt.com/neto-borges/profil/spieler/557939","Left-Back"
"Nicolás Tagliafico",1992,"https://fbref.com/en/players/f0661424/Nicolas-Tagliafico",1992-08-31,"https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225","Left-Back"
"Noah Fadiga",1999,"https://fbref.com/en/players/83f03b07/Noah-Fadiga",1999-12-03,"https://www.transfermarkt.com/noah-fadiga/profil/spieler/379168","Right-Back"
"Noussair Mazraoui",1997,"https://fbref.com/en/players/b74277a0/Noussair-Mazraoui",1997-11-14,"https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456","Right-Back"
"Oumar Gonzalez",1998,"https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez",1998-02-25,"https://www.transfermarkt.com/oumar-gonzalez/profil/spieler/388795","Centre-Back"
"Patrick Pentz",1997,"https://fbref.com/en/players/0810b6df/Patrick-Pentz",1997-01-02,"https://www.transfermarkt.com/patrick-pentz/profil/spieler/223972","Goalkeeper"
"Philipp Hofmann",1993,"https://fbref.com/en/players/877bc844/Philipp-Hofmann",1993-03-30,"https://www.transfermarkt.com/philipp-hofmann/profil/spieler/119037","Centre-Forward"
"Qazim Laçi",1996,"https://fbref.com/en/players/eb0db257/Qazim-Laci",1996-01-19,"https://www.transfermarkt.com/qazim-laci/profil/spieler/290552","Central Midfield"
"Quentin Bernard",1989,"https://fbref.com/en/players/3916b09c/Quentin-Bernard",1989-07-07,"https://www.transfermarkt.com/quentin-bernard/profil/spieler/98262","Left-Back"
"Rafael Ratão",1995,"https://fbref.com/en/players/40ef7347/Rafael-Ratao",1995-11-30,"https://www.transfermarkt.com/rafael-ratao/profil/spieler/289802","Left Winger"
"Rasmus Nicolaisen",1997,"https://fbref.com/en/players/3f319bb9/Rasmus-Nicolaisen",1997-03-16,"https://www.transfermarkt.com/rasmus-nicolaisen/profil/spieler/283227","Centre-Back"
"Rémy Riou",1987,"https://fbref.com/en/players/7f41ee30/Remy-Riou",1987-08-06,"https://www.transfermarkt.com/remy-riou/profil/spieler/18940","Goalkeeper"
"Riad Nouri",1985,"https://fbref.com/en/players/374fbf7d/Riad-Nouri",1985-06-07,"https://www.transfermarkt.com/riad-nouri/profil/spieler/119104","Right Winger"
"Rodrigo Zalazar",1999,"https://fbref.com/en/players/fc3697dd/Rodrigo-Zalazar",1999-08-12,"https://www.transfermarkt.com/rodrigo-zalazar/profil/spieler/606752","Attacking Midfield"
"Ryan Christie",1995,"https://fbref.com/en/players/26ce2263/Ryan-Christie",1995-02-22,"https://www.transfermarkt.com/ryan-christie/profil/spieler/188077","Attacking Midfield"
"Ryan Gravenberch",2002,"https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch",2002-05-16,"https://www.transfermarkt.com/ryan-gravenberch/profil/spieler/478573","Central Midfield"
"Samuel Gigot",1993,"https://fbref.com/en/players/41eebdf5/Samuel-Gigot",1993-10-12,"https://www.transfermarkt.com/samuel-gigot/profil/spieler/276896","Centre-Back"
"Scott McKenna",1996,"https://fbref.com/en/players/4e5a4cbc/Scott-McKenna",1996-11-12,"https://www.transfermarkt.com/scott-mckenna/profil/spieler/255906","Centre-Back"
"Stijn Spierings",1996,"https://fbref.com/en/players/a08985b8/Stijn-Spierings",1996-03-12,"https://www.transfermarkt.com/stijn-spierings/profil/spieler/241501","Defensive Midfield"
"Thijs Dallinga",2000,"https://fbref.com/en/players/b70afb45/Thijs-Dallinga",2000-08-03,"https://www.transfermarkt.com/thijs-dallinga/profil/spieler/538964","Centre-Forward"
"Tobias Mohr",1995,"https://fbref.com/en/players/9ec9c8b6/Tobias-Mohr",1995-08-24,"https://www.transfermarkt.com/tobias-mohr/profil/spieler/153661","Left Winger"
"Tyrell Malacia",1999,"https://fbref.com/en/players/6b6c793c/Tyrell-Malacia",1999-08-17,"https://www.transfermarkt.com/tyrell-malacia/profil/spieler/339340","Left-Back"
"Vincent Marchetti",1997,"https://fbref.com/en/players/740f00ac/Vincent-Marchetti",1997-07-04,"https://www.transfermarkt.com/vincent-marchetti/profil/spieler/374040","Defensive Midfield"
"Wilson Odobert",2004,"https://fbref.com/en/players/35516eac/Wilson-Odobert",2004-11-28,"https://www.transfermarkt.com/wilson-odobert/profil/spieler/743498","Left Winger"
"Yanis Cimignani",2002,"https://fbref.com/en/players/7495aba7/Yanis-Cimignani",2002-01-22,"https://www.transfermarkt.com/yanis-cimignani/profil/spieler/801754","Left Midfield"
"Youssouf M'Changama",1990,"https://fbref.com/en/players/e05082d1/Youssouf-MChangama",1990-08-29,"https://www.transfermarkt.com/youssouf-mchangama/profil/spieler/167472","Attacking Midfield"
"Zakaria Aboukhlal",2000,"https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal",2000-02-18,"https://www.transfermarkt.com/zakaria-aboukhlal/profil/spieler/393238","Right Winger"
