"player_name","player_dob","player_url","player_position","tm_surname","tm_yob"
"Alessandro Zanoli",2000-10-03,"https://www.transfermarkt.com/alessandro-zanoli/profil/spieler/397225","Right-Back","Zanoli",2000
"Alessio Cragno",1994-06-28,"https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907","Goalkeeper","Cragno",1994
"Alessio Romagnoli",1995-01-12,"https://www.transfermarkt.com/alessio-romagnoli/profil/spieler/197747","Centre-Back","Romagnoli",1995
"Alessio Zerbin",1999-03-03,"https://www.transfermarkt.com/alessio-zerbin/profil/spieler/433584","Left Winger","Zerbin",1999
"Álex Baena",2001-07-20,"https://www.transfermarkt.com/alex-baena/profil/spieler/548111","Left Winger","Baena",2001
"Álex Berenguer",1995-07-04,"https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425","Left Winger","Berenguer",1995
"Álex Centelles",1999-08-30,"https://www.transfermarkt.com/alex-centelles/profil/spieler/423443","Left-Back","Centelles",1999
"Álex Collado",1999-04-22,"https://www.transfermarkt.com/alex-collado/profil/spieler/282722","Right Winger","Collado",1999
"Alex Cordaz",1983-01-01,"https://www.transfermarkt.com/alex-cordaz/profil/spieler/16633","Goalkeeper","Cordaz",1983
"Álex Fernández",1992-10-15,"https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733","Attacking Midfield","Fernández",1992
"Alex Ferrari",1994-07-01,"https://www.transfermarkt.com/alex-ferrari/profil/spieler/197491","Centre-Back","Ferrari",1994
"Alex Iwobi",1996-05-03,"https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631","Attacking Midfield","Iwobi",1996
"Alex Kral",1998-05-19,"https://www.transfermarkt.com/alex-kral/profil/spieler/337333","Defensive Midfield","Kral",1998
"Alex McCarthy",1989-12-03,"https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976","Goalkeeper","McCarthy",1989
"Alex Meret",1997-03-22,"https://www.transfermarkt.com/alex-meret/profil/spieler/240414","Goalkeeper","Meret",1997
"Alex Mighten",2002-04-11,"https://www.transfermarkt.com/alex-mighten/profil/spieler/503988","Left Winger","Mighten",2002
"Álex Moreno",1993-06-08,"https://www.transfermarkt.com/alex-moreno/profil/spieler/193098","Left-Back","Moreno",1993
"Alex Oxlade-Chamberlain",1993-08-15,"https://www.transfermarkt.com/alex-oxlade-chamberlain/profil/spieler/143424","Central Midfield","Oxlade-Chamberlain",1993
"Álex Remiro",1995-03-24,"https://www.transfermarkt.com/alex-remiro/profil/spieler/212862","Goalkeeper","Remiro",1995
"Alex Sandro",1991-01-26,"https://www.transfermarkt.com/alex-sandro/profil/spieler/79960","Left-Back","Sandro",1991
"Alex Smithies",1990-03-05,"https://www.transfermarkt.com/alex-smithies/profil/spieler/33754","Goalkeeper","Smithies",1990
"Álex Sola",1999-06-09,"https://www.transfermarkt.com/alex-sola/profil/spieler/434990","Right-Back","Sola",1999
"Alex Telles",1992-12-15,"https://www.transfermarkt.com/alex-telles/profil/spieler/255755","Left-Back","Telles",1992
"Alexander Callens",1992-05-04,"https://www.transfermarkt.com/alexander-callens/profil/spieler/147462","Centre-Back","Callens",1992
"Alexander Djiku",1994-08-09,"https://www.transfermarkt.com/alexander-djiku/profil/spieler/250844","Centre-Back","Djiku",1994
"Alexander Hack",1993-09-08,"https://www.transfermarkt.com/alexander-hack/profil/spieler/126281","Centre-Back","Hack",1993
"Alexander Isak",1999-09-21,"https://www.transfermarkt.com/alexander-isak/profil/spieler/349066","Centre-Forward","Isak",1999
"Alexander Meyer",1991-04-13,"https://www.transfermarkt.com/alexander-meyer/profil/spieler/76158","Goalkeeper","Meyer",1991
"Alexander Nübel",1996-09-30,"https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778","Goalkeeper","Nübel",1996
"Alexander Schwolow",1992-06-02,"https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763","Goalkeeper","Schwolow",1992
"Alexander Sørloth",1995-12-05,"https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407","Centre-Forward","Sørloth",1995
"Alexandre Lacazette",1991-05-28,"https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720","Centre-Forward","Lacazette",1991
"Alexandre Letellier",1990-12-11,"https://www.transfermarkt.com/alexandre-letellier/profil/spieler/93730","Goalkeeper","Letellier",1990
"Alexandre Olliero",1996-02-15,"https://www.transfermarkt.com/alexandre-olliero/profil/spieler/395602","Goalkeeper","Olliero",1996
"Alexandre Pierre",2001-02-25,"https://www.transfermarkt.com/alexandre-pierre/profil/spieler/838947","Goalkeeper","Pierre",2001
"Alexis Beka Beka",2001-03-29,"https://www.transfermarkt.com/alexis-beka-beka/profil/spieler/539065","Defensive Midfield","Beka",2001
"Alexis Blin",1996-09-16,"https://www.transfermarkt.com/alexis-blin/profil/spieler/236041","Defensive Midfield","Blin",1996
"Alexis Claude-Maurice",1998-06-06,"https://www.transfermarkt.com/alexis-claude-maurice/profil/spieler/384593","Attacking Midfield","Claude-Maurice",1998
"Alexis Flips",2000-01-18,"https://www.transfermarkt.com/alexis-flips/profil/spieler/395242","Right Winger","Flips",2000
"Alexis Mac Allister",1998-12-24,"https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033","Central Midfield","Allister",1998
"Alexis Saelemaekers",1999-06-27,"https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950","Right Winger","Saelemaekers",1999
"Alexis Sánchez",1988-12-19,"https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433","Centre-Forward","Sánchez",1988
"Alexis Tibidi",2003-11-03,"https://www.transfermarkt.com/alexis-tibidi/profil/spieler/750886","Left Winger","Tibidi",2003
"Alexsandro",1999-08-09,"https://www.transfermarkt.com/alexsandro/profil/spieler/648020","Centre-Back","Alexsandro",1999
"Alfie Whiteman",1998-10-02,"https://www.transfermarkt.com/alfie-whiteman/profil/spieler/282823","Goalkeeper","Whiteman",1998
"Alfonso Espino",1992-01-05,"https://www.transfermarkt.com/alfonso-espino/profil/spieler/311044","Left-Back","Espino",1992
"Alfonso Pedraza",1996-04-09,"https://www.transfermarkt.com/alfonso-pedraza/profil/spieler/356197","Left-Back","Pedraza",1996
"Alfred Duncan",1993-03-10,"https://www.transfermarkt.com/alfred-duncan/profil/spieler/184894","Central Midfield","Duncan",1993
"Ali Kalla",1998-04-23,"https://www.transfermarkt.com/ali-kalla/profil/spieler/807687","Right-Back","Kalla",1998
"Alidu Seidu",2000-06-04,"https://www.transfermarkt.com/alidu-seidu/profil/spieler/798404","Centre-Back","Seidu",2000
"Alisson",1992-10-02,"https://www.transfermarkt.com/alisson/profil/spieler/105470","Goalkeeper","Alisson",1992
"Allan Saint-Maximin",1997-03-12,"https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642","Left Winger","Saint-Maximin",1997
"Almamy Touré",1996-04-28,"https://www.transfermarkt.com/almamy-toure/profil/spieler/216181","Centre-Back","Touré",1996
"Alou Kuol",2001-07-05,"https://www.transfermarkt.com/alou-kuol/profil/spieler/748070","Centre-Forward","Kuol",2001
"Alphonse Areola",1993-02-27,"https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629","Goalkeeper","Areola",1993
"Alphonso Davies",2000-11-02,"https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204","Left-Back","Davies",2000
"Álvaro Aguado",1996-05-01,"https://www.transfermarkt.com/alvaro-aguado/profil/spieler/449496","Central Midfield","Aguado",1996
"Álvaro Fernández",1998-04-13,"https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/453704","Goalkeeper","Fernández",1998
"Álvaro García",1992-10-27,"https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062","Left Winger","García",1992
"Álvaro Morata",1992-10-23,"https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223","Centre-Forward","Morata",1992
"Álvaro Negredo",1985-08-20,"https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644","Centre-Forward","Negredo",1985
"Álvaro Odriozola",1995-12-14,"https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730","Right-Back","Odriozola",1995
"Álvaro Rodríguez",2004-07-14,"https://www.transfermarkt.com/alvaro-rodriguez/profil/spieler/948275","Centre-Forward","Rodríguez",2004
"Amadou Haidara",1998-01-31,"https://www.transfermarkt.com/amadou-haidara/profil/spieler/402008","Central Midfield","Haidara",1998
"Amadou Onana",2001-08-16,"https://www.transfermarkt.com/amadou-onana/profil/spieler/485706","Defensive Midfield","Onana",2001
"Amath Ndiaye",1996-07-16,"https://www.transfermarkt.com/amath-ndiaye/profil/spieler/339820","Left Winger","Ndiaye",1996
"Amin Sarr",2001-03-11,"https://www.transfermarkt.com/amin-sarr/profil/spieler/748382","Centre-Forward","Sarr",2001
"Amine Adli",2000-05-10,"https://www.transfermarkt.com/amine-adli/profil/spieler/532776","Left Winger","Adli",2000
"Amine Gouiri",2000-02-16,"https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659","Centre-Forward","Gouiri",2000
"Amine Harit",1997-06-18,"https://www.transfermarkt.com/amine-harit/profil/spieler/372711","Attacking Midfield","Harit",1997
"Amine Salama",2000-07-18,"https://www.transfermarkt.com/amine-salama/profil/spieler/980576","Centre-Forward","Salama",2000
"Amir Rrahmani",1994-02-24,"https://www.transfermarkt.com/amir-rrahmani/profil/spieler/257732","Centre-Back","Rrahmani",1994
"Amos Pieper",1998-01-17,"https://www.transfermarkt.com/amos-pieper/profil/spieler/334221","Centre-Back","Pieper",1998
"Ander Barrenetxea",2001-12-27,"https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369","Left Winger","Barrenetxea",2001
"Ander Capa",1992-02-08,"https://www.transfermarkt.com/ander-capa/profil/spieler/197545","Right-Back","Capa",1992
"Ander Guevara",1997-07-07,"https://www.transfermarkt.com/ander-guevara/profil/spieler/465967","Central Midfield","Guevara",1997
"Ander Herrera",1989-08-14,"https://www.transfermarkt.com/ander-herrera/profil/spieler/99343","Central Midfield","Herrera",1989
"Ander Iru",1998-08-22,"https://www.transfermarkt.com/ander-iru/profil/spieler/480958","Goalkeeper","Iru",1998
"Andoni Gorosabel",1996-08-04,"https://www.transfermarkt.com/andoni-gorosabel/profil/spieler/289255","Right-Back","Gorosabel",1996
"Andoni Zubiaurre",1996-12-04,"https://www.transfermarkt.com/andoni-zubiaurre/profil/spieler/428948","Goalkeeper","Zubiaurre",1996
