"player_name","player_dob","player_url","player_position","tm_surname","tm_yob"
"Jordi Masip",1989-01-03,"https://www.transfermarkt.com/jordi-masip/profil/spieler/65263","Goalkeeper","Masip",1989
"Jordi Osei-Tutu",1998-10-02,"https://www.transfermarkt.com/jordi-osei-tutu/profil/spieler/397099","Right-Back","Osei-Tutu",1998
"Jorge Cuenca",1999-11-17,"https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880","Centre-Back","Cuenca",1999
"Jorge Meré",1997-04-17,"https://www.transfermarkt.com/jorge-mere/profil/spieler/286779","Centre-Back","Meré",1997
"Jörgen Strand Larsen",2000-02-06,"https://www.transfermarkt.com/jorgen-strand-larsen/profil/spieler/429983","Centre-Forward","Larsen",2000
"Jorginho",1991-12-20,"https://www.transfermarkt.com/jorginho/profil/spieler/102017","Defensive Midfield","Jorginho",1991
"Joris Chotard",2001-09-24,"https://www.transfermarkt.com/joris-chotard/profil/spieler/624037","Defensive Midfield","Chotard",2001
"Josan",1989-12-03,"https://www.transfermarkt.com/josan/profil/spieler/277533","Right Winger","Josan",1989
"José Ángel Carmona",2002-01-29,"https://www.transfermarkt.com/jose-angel-carmona/profil/spieler/711625","Right-Back","Carmona",2002
"José Carlos Lazo",1996-02-16,"https://www.transfermarkt.com/jose-carlos-lazo/profil/spieler/282410","Left Winger","Lazo",1996
"José Copete",1999-10-10,"https://www.transfermarkt.com/jose-copete/profil/spieler/520840","Centre-Back","Copete",1999
"José Fonte",1983-12-22,"https://www.transfermarkt.com/jose-fonte/profil/spieler/33829","Centre-Back","Fonte",1983
"José Gayà",1995-05-25,"https://www.transfermarkt.com/jose-gaya/profil/spieler/221322","Left-Back","Gayà",1995
"José Gragera",2000-05-14,"https://www.transfermarkt.com/jose-gragera/profil/spieler/557147","Central Midfield","Gragera",2000
"José Luis Morales",1987-07-23,"https://www.transfermarkt.com/jose-luis-morales/profil/spieler/252677","Centre-Forward","Morales",1987
"José Luis Palomino",1990-01-05,"https://www.transfermarkt.com/jose-luis-palomino/profil/spieler/125020","Centre-Back","Palomino",1990
"José Machín",1996-08-14,"https://www.transfermarkt.com/jose-machin/profil/spieler/355104","Central Midfield","Machín",1996
"José Mari",1987-12-06,"https://www.transfermarkt.com/jose-mari/profil/spieler/225462","Defensive Midfield","Mari",1987
"José María Giménez",1995-01-20,"https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845","Centre-Back","Giménez",1995
"José Pozo",1996-03-15,"https://www.transfermarkt.com/jose-pozo/profil/spieler/195605","Attacking Midfield","Pozo",1996
"José Sá",1993-01-17,"https://www.transfermarkt.com/jose-sa/profil/spieler/249994","Goalkeeper","Sá",1993
"Joseba Zaldua",1992-06-24,"https://www.transfermarkt.com/joseba-zaldua/profil/spieler/197135","Right-Back","Zaldua",1992
"Joselu",1990-03-27,"https://www.transfermarkt.com/joselu/profil/spieler/81999","Centre-Forward","Joselu",1990
"Joseph Aidoo",1995-09-29,"https://www.transfermarkt.com/joseph-aidoo/profil/spieler/358250","Centre-Back","Aidoo",1995
"Josh Dasilva",1998-10-23,"https://www.transfermarkt.com/josh-dasilva/profil/spieler/340321","Central Midfield","Dasilva",1998
"Josh Doig",2002-05-18,"https://www.transfermarkt.com/josh-doig/profil/spieler/567129","Left-Back","Doig",2002
"Josha Vagnoman",2000-12-11,"https://www.transfermarkt.com/josha-vagnoman/profil/spieler/448258","Right-Back","Vagnoman",2000
"Joshua Eze",2003-03-20,"https://www.transfermarkt.com/joshua-eze/profil/spieler/606079","Defensive Midfield","Eze",2003
"Joshua Kimmich",1995-02-08,"https://www.transfermarkt.com/joshua-kimmich/profil/spieler/161056","Defensive Midfield","Kimmich",1995
"Joshua Schwirten",2002-01-07,"https://www.transfermarkt.com/joshua-schwirten/profil/spieler/598575","Central Midfield","Schwirten",2002
"Joshua Zirkzee",2001-05-22,"https://www.transfermarkt.com/joshua-zirkzee/profil/spieler/435648","Centre-Forward","Zirkzee",2001
"Josip Brekalo",1998-06-23,"https://www.transfermarkt.com/josip-brekalo/profil/spieler/293169","Left Winger","Brekalo",1998
"Josip Juranovic",1995-08-16,"https://www.transfermarkt.com/josip-juranovic/profil/spieler/362977","Right-Back","Juranovic",1995
"Josip Stanisic",2000-04-02,"https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046","Right-Back","Stanisic",2000
"Josko Gvardiol",2002-01-23,"https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959","Centre-Back","Gvardiol",2002
"Josué Escartin",2003-03-21,"https://www.transfermarkt.com/josue-escartin/profil/spieler/862972","Centre-Back","Escartin",2003
"Josuha Guilavogui",1990-09-19,"https://www.transfermarkt.com/josuha-guilavogui/profil/spieler/93704","Defensive Midfield","Guilavogui",1990
"Juan Bernat",1993-03-01,"https://www.transfermarkt.com/juan-bernat/profil/spieler/126719","Left-Back","Bernat",1993
"Juan Cabal",2001-01-08,"https://www.transfermarkt.com/juan-cabal/profil/spieler/686965","Centre-Back","Cabal",2001
"Juan Cala",1989-11-26,"https://www.transfermarkt.com/juan-cala/profil/spieler/67089","Centre-Back","Cala",1989
"Juan Carlos",1988-01-20,"https://www.transfermarkt.com/juan-carlos/profil/spieler/120705","Goalkeeper","Carlos",1988
"Juan Cruz",1992-07-28,"https://www.transfermarkt.com/juan-cruz/profil/spieler/169497","Left-Back","Cruz",1992
"Juan Cruz",2000-04-25,"https://www.transfermarkt.com/juan-cruz/profil/spieler/585700","Right Winger","Cruz",2000
"Juan Cuadrado",1988-05-26,"https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","Right Midfield","Cuadrado",1988
"Juan Foyth",1998-01-12,"https://www.transfermarkt.com/juan-foyth/profil/spieler/480763","Right-Back","Foyth",1998
"Juan Iglesias",1998-07-03,"https://www.transfermarkt.com/juan-iglesias/profil/spieler/390688","Right-Back","Iglesias",1998
"Juan Jesus",1991-06-10,"https://www.transfermarkt.com/juan-jesus/profil/spieler/121985","Centre-Back","Jesus",1991
"Juan José Perea",2000-02-23,"https://www.transfermarkt.com/juan-jose-perea/profil/spieler/496767","Centre-Forward","Perea",2000
"Juan Larios",2004-01-12,"https://www.transfermarkt.com/juan-larios/profil/spieler/646738","Left-Back","Larios",2004
"Juan Miranda",2000-01-19,"https://www.transfermarkt.com/juan-miranda/profil/spieler/341227","Left-Back","Miranda",2000
"Juan Musso",1994-05-06,"https://www.transfermarkt.com/juan-musso/profil/spieler/242359","Goalkeeper","Musso",1994
"Juanmi Latasa",2001-03-23,"https://www.transfermarkt.com/juanmi-latasa/profil/spieler/623521","Centre-Forward","Latasa",2001
"Juanmi",1993-05-20,"https://www.transfermarkt.com/juanmi/profil/spieler/126737","Left Winger","Juanmi",1993
"Juanpe",1991-04-30,"https://www.transfermarkt.com/juanpe/profil/spieler/115333","Centre-Back","Juanpe",1991
"Jubal",1993-08-29,"https://www.transfermarkt.com/jubal/profil/spieler/149928","Centre-Back","Jubal",1993
"Jude Bellingham",2003-06-29,"https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678","Central Midfield","Bellingham",2003
"Julen Agirrezabala",2000-12-26,"https://www.transfermarkt.com/julen-agirrezabala/profil/spieler/625014","Goalkeeper","Agirrezabala",2000
"Jules Koundé",1998-11-12,"https://www.transfermarkt.com/jules-kounde/profil/spieler/411975","Centre-Back","Koundé",1998
"Julián Álvarez",2000-01-31,"https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024","Centre-Forward","Álvarez",2000
"Julian Baumgartlinger",1988-01-02,"https://www.transfermarkt.com/julian-baumgartlinger/profil/spieler/34787","Defensive Midfield","Baumgartlinger",1988
"Julian Brandt",1996-05-02,"https://www.transfermarkt.com/julian-brandt/profil/spieler/187492","Attacking Midfield","Brandt",1996
"Julian Chabot",1998-02-12,"https://www.transfermarkt.com/julian-chabot/profil/spieler/303219","Centre-Back","Chabot",1998
"Julian Eitschberger",2004-03-05,"https://www.transfermarkt.com/julian-eitschberger/profil/spieler/706617","Right-Back","Eitschberger",2004
"Julian Jeanvier",1992-03-31,"https://www.transfermarkt.com/julian-jeanvier/profil/spieler/134277","Centre-Back","Jeanvier",1992
"Julian Pollersbeck",1994-08-16,"https://www.transfermarkt.com/julian-pollersbeck/profil/spieler/228975","Goalkeeper","Pollersbeck",1994
"Julian Roloff",2001-01-17,"https://www.transfermarkt.com/julian-roloff/profil/spieler/453757","Goalkeeper","Roloff",2001
"Julian Ryerson",1997-11-17,"https://www.transfermarkt.com/julian-ryerson/profil/spieler/370789","Right-Back","Ryerson",1997
"Julian Weigl",1995-09-08,"https://www.transfermarkt.com/julian-weigl/profil/spieler/196792","Defensive Midfield","Weigl",1995
"Julien Duranville",2006-05-05,"https://www.transfermarkt.com/julien-duranville/profil/spieler/819215","Right Winger","Duranville",2006
"Julien Laporte",1993-11-04,"https://www.transfermarkt.com/julien-laporte/profil/spieler/386057","Centre-Back","Laporte",1993
"Julien Le Cardinal",1997-08-03,"https://www.transfermarkt.com/julien-le-cardinal/profil/spieler/794349","Right-Back","Cardinal",1997
"Julien Ponceau",2000-11-28,"https://www.transfermarkt.com/julien-ponceau/profil/spieler/569390","Attacking Midfield","Ponceau",2000
"Julio Enciso",2004-01-23,"https://www.transfermarkt.com/julio-enciso/profil/spieler/660867","Centre-Forward","Enciso",2004
"Julius Beck",2005-04-27,"https://www.transfermarkt.com/julius-beck/profil/spieler/802512","Central Midfield","Beck",2005
"Junior Dina Ebimbe",2000-11-21,"https://www.transfermarkt.com/junior-dina-ebimbe/profil/spieler/536482","Right Midfield","Ebimbe",2000
"Junior Firpo",1996-08-22,"https://www.transfermarkt.com/junior-firpo/profil/spieler/374139","Left-Back","Firpo",1996
"Junior Messias",1991-05-13,"https://www.transfermarkt.com/junior-messias/profil/spieler/449151","Right Winger","Messias",1991
"Junior Sambia",1996-09-07,"https://www.transfermarkt.com/junior-sambia/profil/spieler/335147","Right-Back","Sambia",1996
"Junior Stanislas",1989-11-26,"https://www.transfermarkt.com/junior-stanislas/profil/spieler/87672","Left Winger","Stanislas",1989
"Junya Ito",1993-03-09,"https://www.transfermarkt.com/junya-ito/profil/spieler/348791","Right Winger","Ito",1993
"Justin Che",2003-11-18,"https://www.transfermarkt.com/justin-che/profil/spieler/796429","Right-Back","Che",2003
"Justin Diehl",2004-11-27,"https://www.transfermarkt.com/justin-diehl/profil/spieler/720162","Second Striker","Diehl",2004
"Justin Heekeren",2000-11-27,"https://www.transfermarkt.com/justin-heekeren/profil/spieler/453770","Goalkeeper","Heekeren",2000
"Justin Kluivert",1999-05-05,"https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659","Left Winger","Kluivert",1999
"Kacper Urbanski",2004-09-07,"https://www.transfermarkt.com/kacper-urbanski/profil/spieler/699442","Defensive Midfield","Urbanski",2004
"Kai Havertz",1999-06-11,"https://www.transfermarkt.com/kai-havertz/profil/spieler/309400","Attacking Midfield","Havertz",1999
"Kaiky",2004-01-12,"https://www.transfermarkt.com/kaiky/profil/spieler/743589","Centre-Back","Kaiky",2004
"Kaio Jorge",2002-01-24,"https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","Centre-Forward","Jorge",2002
"Kaj Sierhuis",1998-04-27,"https://www.transfermarkt.com/kaj-sierhuis/profil/spieler/315283","Centre-Forward","Sierhuis",1998
"Kalidou Koulibaly",1991-06-20,"https://www.transfermarkt.com/kalidou-koulibaly/profil/spieler/93128","Centre-Back","Koulibaly",1991
"Kalvin Phillips",1995-12-02,"https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749","Defensive Midfield","Phillips",1995
"Kamaldeen Sulemana",2002-02-15,"https://www.transfermarkt.com/kamaldeen-sulemana/profil/spieler/746695","Left Winger","Sulemana",2002
"Kamory Doumbia",2003-02-18,"https://www.transfermarkt.com/kamory-doumbia/profil/spieler/671594","Attacking Midfield","Doumbia",2003
"Kang-in Lee",2001-02-19,"https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149","Attacking Midfield","Lee",2001
"Kaoru Mitoma",1997-05-20,"https://www.transfermarkt.com/kaoru-mitoma/profil/spieler/504849","Left Winger","Mitoma",1997
"Karamoko Dembélé",2003-02-22,"https://www.transfermarkt.com/karamoko-dembele/profil/spieler/466602","Right Winger","Dembélé",2003
"Karim Adeyemi",2002-01-18,"https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094","Left Winger","Adeyemi",2002
"Karim Bellarabi",1990-04-08,"https://www.transfermarkt.com/karim-bellarabi/profil/spieler/61087","Right Winger","Bellarabi",1990
"Karim Benzema",1987-12-19,"https://www.transfermarkt.com/karim-benzema/profil/spieler/18922","Centre-Forward","Benzema",1987
"Karim Onisiwo",1992-03-17,"https://www.transfermarkt.com/karim-onisiwo/profil/spieler/119234","Centre-Forward","Onisiwo",1992
"Karim Rekik",1994-12-02,"https://www.transfermarkt.com/karim-rekik/profil/spieler/182579","Centre-Back","Rekik",1994
"Karim Zedadka",2000-06-09,"https://www.transfermarkt.com/karim-zedadka/profil/spieler/612065","Left Midfield","Zedadka",2000
"Karl Toko Ekambi",1992-09-14,"https://www.transfermarkt.com/karl-toko-ekambi/profil/spieler/315110","Left Winger","Ekambi",1992
"Karol Linetty",1995-02-02,"https://www.transfermarkt.com/karol-linetty/profil/spieler/225873","Central Midfield","Linetty",1995
"Kasper Dolberg",1997-10-06,"https://www.transfermarkt.com/kasper-dolberg/profil/spieler/283196","Centre-Forward","Dolberg",1997
"Kasper Schmeichel",1986-11-05,"https://www.transfermarkt.com/kasper-schmeichel/profil/spieler/16911","Goalkeeper","Schmeichel",1986
"Kastriot Dermaku",1992-01-15,"https://www.transfermarkt.com/kastriot-dermaku/profil/spieler/163647","Centre-Back","Dermaku",1992
"Kayne Bonnevie",2001-07-22,"https://www.transfermarkt.com/kayne-bonnevie/profil/spieler/618465","Goalkeeper","Bonnevie",2001
"Kays Ruiz-Atil",2002-08-26,"https://www.transfermarkt.com/kays-ruiz-atil/profil/spieler/538045","Central Midfield","Ruiz-Atil",2002
"Keane Lewis-Potter",2001-02-22,"https://www.transfermarkt.com/keane-lewis-potter/profil/spieler/644401","Left Winger","Lewis-Potter",2001
"Keidi Bare",1997-08-28,"https://www.transfermarkt.com/keidi-bare/profil/spieler/295622","Central Midfield","Bare",1997
"Kelechi Iheanacho",1996-10-03,"https://www.transfermarkt.com/kelechi-iheanacho/profil/spieler/295330","Centre-Forward","Iheanacho",1996
"Kelian Nsona",2002-05-11,"https://www.transfermarkt.com/kelian-nsona/profil/spieler/569368","Right Winger","Nsona",2002
"Kelvin Amian",1998-02-08,"https://www.transfermarkt.com/kelvin-amian/profil/spieler/344072","Right-Back","Amian",1998
"Kelvin Yeboah",2000-05-06,"https://www.transfermarkt.com/kelvin-yeboah/profil/spieler/589737","Centre-Forward","Yeboah",2000
"Kenan Karaman",1994-03-05,"https://www.transfermarkt.com/kenan-karaman/profil/spieler/119557","Centre-Forward","Karaman",1994
"Kenedy",1996-02-08,"https://www.transfermarkt.com/kenedy/profil/spieler/281404","Left Winger","Kenedy",1996
"Kenji-Van Boto",1996-03-07,"https://www.transfermarkt.com/kenji-van-boto/profil/spieler/229012","Left-Back","Boto",1996
"Kenneth Schmidt",2002-06-03,"https://www.transfermarkt.com/kenneth-schmidt/profil/spieler/527276","Centre-Back","Schmidt",2002
"Kenny Lala",1991-10-03,"https://www.transfermarkt.com/kenny-lala/profil/spieler/174196","Right-Back","Lala",1991
"Kenny Tete",1995-10-09,"https://www.transfermarkt.com/kenny-tete/profil/spieler/206746","Right-Back","Tete",1995
"Kepa Arrizabalaga",1994-10-03,"https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279","Goalkeeper","Arrizabalaga",1994
"Kerem Demirbay",1993-07-03,"https://www.transfermarkt.com/kerem-demirbay/profil/spieler/125858","Central Midfield","Demirbay",1993
"Keven Schlotterbeck",1997-04-28,"https://www.transfermarkt.com/keven-schlotterbeck/profil/spieler/413843","Centre-Back","Schlotterbeck",1997
"Kevin Agudelo",1998-11-14,"https://www.transfermarkt.com/kevin-agudelo/profil/spieler/587458","Attacking Midfield","Agudelo",1998
"Kevin Akpoguma",1995-04-19,"https://www.transfermarkt.com/kevin-akpoguma/profil/spieler/160241","Centre-Back","Akpoguma",1995
"Kevin Behrens",1991-02-03,"https://www.transfermarkt.com/kevin-behrens/profil/spieler/117432","Centre-Forward","Behrens",1991
"Kevin Bonifazi",1996-05-19,"https://www.transfermarkt.com/kevin-bonifazi/profil/spieler/247377","Centre-Back","Bonifazi",1996
"Kévin Danois",2004-06-28,"https://www.transfermarkt.com/kevin-danois/profil/spieler/743496","Attacking Midfield","Danois",2004
"Kevin Danso",1998-09-19,"https://www.transfermarkt.com/kevin-danso/profil/spieler/263236","Centre-Back","Danso",1998
"Kevin De Bruyne",1991-06-28,"https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755","Attacking Midfield","Bruyne",1991
"Kévin Gameiro",1987-05-09,"https://www.transfermarkt.com/kevin-gameiro/profil/spieler/27389","Centre-Forward","Gameiro",1987
"Kevin Kampl",1990-10-09,"https://www.transfermarkt.com/kevin-kampl/profil/spieler/53418","Central Midfield","Kampl",1990
"Kévin Keben",2004-01-26,"https://www.transfermarkt.com/kevin-keben/profil/spieler/855014","Centre-Back","Keben",2004
"Kevin Lasagna",1992-08-10,"https://www.transfermarkt.com/kevin-lasagna/profil/spieler/131951","Centre-Forward","Lasagna",1992
"Kevin Möhwald",1993-07-03,"https://www.transfermarkt.com/kevin-mohwald/profil/spieler/94137","Central Midfield","Möhwald",1993
"Kevin Paredes",2003-05-07,"https://www.transfermarkt.com/kevin-paredes/profil/spieler/711517","Left Midfield","Paredes",2003
"Kevin-Prince Boateng",1987-03-06,"https://www.transfermarkt.com/kevin-prince-boateng/profil/spieler/16922","Attacking Midfield","Boateng",1987
"Kevin Schade",2001-11-27,"https://www.transfermarkt.com/kevin-schade/profil/spieler/473050","Right Winger","Schade",2001
"Kevin Spadanuda",1997-01-16,"https://www.transfermarkt.com/kevin-spadanuda/profil/spieler/371554","Left Winger","Spadanuda",1997
"Kevin Stöger",1993-08-27,"https://www.transfermarkt.com/kevin-stoger/profil/spieler/106872","Attacking Midfield","Stöger",1993
"Kevin Trapp",1990-07-08,"https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","Goalkeeper","Trapp",1990
"Kevin Vázquez",1993-03-23,"https://www.transfermarkt.com/kevin-vazquez/profil/spieler/221315","Right-Back","Vázquez",1993
"Kevin Vogt",1991-09-23,"https://www.transfermarkt.com/kevin-vogt/profil/spieler/84435","Centre-Back","Vogt",1991
"Kevin Volland",1992-07-30,"https://www.transfermarkt.com/kevin-volland/profil/spieler/82009","Centre-Forward","Volland",1992
"Keylor Navas",1986-12-15,"https://www.transfermarkt.com/keylor-navas/profil/spieler/79422","Goalkeeper","Navas",1986
"Khalil Fayad",2004-06-09,"https://www.transfermarkt.com/khalil-fayad/profil/spieler/782630","Central Midfield","Fayad",2004
"Khéphren Thuram",2001-03-26,"https://www.transfermarkt.com/khephren-thuram/profil/spieler/463618","Defensive Midfield","Thuram",2001
"Khvicha Kvaratskhelia",2001-02-12,"https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670","Left Winger","Kvaratskhelia",2001
"Kieffer Moore",1992-08-08,"https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590","Centre-Forward","Moore",1992
"Kieran Tierney",1997-06-05,"https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716","Left-Back","Tierney",1997
"Kieran Trippier",1990-09-19,"https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810","Right-Back","Trippier",1990
"Kiernan Dewsbury-Hall",1998-09-06,"https://www.transfermarkt.com/kiernan-dewsbury-hall/profil/spieler/475188","Central Midfield","Dewsbury-Hall",1998
"Kike Barja",1997-04-01,"https://www.transfermarkt.com/kike-barja/profil/spieler/298575","Right Winger","Barja",1997
"Kike García",1989-11-25,"https://www.transfermarkt.com/kike-garcia/profil/spieler/93936","Centre-Forward","García",1989
"Kike Pérez",1997-02-14,"https://www.transfermarkt.com/kike-perez/profil/spieler/527698","Central Midfield","Pérez",1997
"Kiki Kouyaté",1997-04-15,"https://www.transfermarkt.com/kiki-kouyate/profil/spieler/211637","Centre-Back","Kouyaté",1997
"Kiko Casilla",1986-10-02,"https://www.transfermarkt.com/kiko-casilla/profil/spieler/27486","Goalkeeper","Casilla",1986
"Kiko Femenía",1991-02-02,"https://www.transfermarkt.com/kiko-femenia/profil/spieler/76467","Right-Back","Femenía",1991
"Kilian Fischer",2000-10-12,"https://www.transfermarkt.com/kilian-fischer/profil/spieler/435796","Right-Back","Fischer",2000
"Kiliann Sildillia",2002-05-16,"https://www.transfermarkt.com/kiliann-sildillia/profil/spieler/548348","Right-Back","Sildillia",2002
"Kimberly Ezekwem",2001-06-19,"https://www.transfermarkt.com/kimberly-ezekwem/profil/spieler/453865","Left-Back","Ezekwem",2001
"Kingsley Coman",1996-06-13,"https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714","Left Winger","Coman",1996
"Kingsley Ehizibue",1995-05-25,"https://www.transfermarkt.com/kingsley-ehizibue/profil/spieler/272812","Right-Back","Ehizibue",1995
"Kingsley Michael",1999-08-26,"https://www.transfermarkt.com/kingsley-michael/profil/spieler/401920","Central Midfield","Michael",1999
"Kingsley Schindler",1993-07-12,"https://www.transfermarkt.com/kingsley-schindler/profil/spieler/153678","Right Midfield","Schindler",1993
"Kjetil Haug",1998-06-12,"https://www.transfermarkt.com/kjetil-haug/profil/spieler/328770","Goalkeeper","Haug",1998
"Ko Itakura",1997-01-27,"https://www.transfermarkt.com/ko-itakura/profil/spieler/355816","Centre-Back","Itakura",1997
"Kobbie Mainoo",2005-04-19,"https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374","Central Midfield","Mainoo",2005
"Koen Casteels",1992-06-25,"https://www.transfermarkt.com/koen-casteels/profil/spieler/108880","Goalkeeper","Casteels",1992
"Koffi Djidji",1992-11-30,"https://www.transfermarkt.com/koffi-djidji/profil/spieler/183031","Centre-Back","Djidji",1992
"Koke",1992-01-08,"https://www.transfermarkt.com/koke/profil/spieler/74229","Central Midfield","Koke",1992
"Komnen Andric",1995-07-01,"https://www.transfermarkt.com/komnen-andric/profil/spieler/260316","Centre-Forward","Andric",1995
"Koni De Winter",2002-06-12,"https://www.transfermarkt.com/koni-de-winter/profil/spieler/490384","Centre-Back","Winter",2002
"Konrad Laimer",1997-05-27,"https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967","Central Midfield","Laimer",1997
"Konstantinos Mavropanos",1997-12-11,"https://www.transfermarkt.com/konstantinos-mavropanos/profil/spieler/415912","Centre-Back","Mavropanos",1997
"Konstantinos Stafylidis",1993-12-02,"https://www.transfermarkt.com/konstantinos-stafylidis/profil/spieler/148967","Left-Back","Stafylidis",1993
"Konstantinos Tsimikas",1996-05-12,"https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070","Left-Back","Tsimikas",1996
"Koray Günter",1994-08-16,"https://www.transfermarkt.com/koray-gunter/profil/spieler/115763","Centre-Back","Günter",1994
"Krépin Diatta",1999-02-25,"https://www.transfermarkt.com/krepin-diatta/profil/spieler/490426","Right Winger","Diatta",1999
"Kristian Pedersen",1994-08-04,"https://www.transfermarkt.com/kristian-pedersen/profil/spieler/331779","Left-Back","Pedersen",1994
"Kristian Thorstvedt",1999-03-13,"https://www.transfermarkt.com/kristian-thorstvedt/profil/spieler/564785","Attacking Midfield","Thorstvedt",1999
"Kristijan Jakic",1997-05-14,"https://www.transfermarkt.com/kristijan-jakic/profil/spieler/374954","Defensive Midfield","Jakic",1997
"Kristjan Asllani",2002-03-09,"https://www.transfermarkt.com/kristjan-asllani/profil/spieler/543771","Defensive Midfield","Asllani",2002
"Kristoffer Ajer",1998-04-17,"https://www.transfermarkt.com/kristoffer-ajer/profil/spieler/328658","Centre-Back","Ajer",1998
"Kristoffer Askildsen",2001-01-09,"https://www.transfermarkt.com/kristoffer-askildsen/profil/spieler/574495","Central Midfield","Askildsen",2001
"Kristoffer Klaesson",2000-11-27,"https://www.transfermarkt.com/kristoffer-klaesson/profil/spieler/418561","Goalkeeper","Klaesson",2000
"Krzysztof Piatek",1995-07-01,"https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757","Centre-Forward","Piatek",1995
"Kurt Zouma",1994-10-27,"https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509","Centre-Back","Zouma",1994
"Kyle Walker-Peters",1997-04-13,"https://www.transfermarkt.com/kyle-walker-peters/profil/spieler/341051","Right-Back","Walker-Peters",1997
"Kyle Walker",1990-05-28,"https://www.transfermarkt.com/kyle-walker/profil/spieler/95424","Right-Back","Walker",1990
"Kylian Mbappé",1998-12-20,"https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229","Centre-Forward","Mbappé",1998
"Lameck Banda",2001-01-29,"https://www.transfermarkt.com/lameck-banda/profil/spieler/545538","Left Winger","Banda",2001
"Largie Ramazani",2001-02-27,"https://www.transfermarkt.com/largie-ramazani/profil/spieler/518644","Left Winger","Ramazani",2001
"Lars Stindl",1988-08-26,"https://www.transfermarkt.com/lars-stindl/profil/spieler/48298","Attacking Midfield","Stindl",1988
"Lassana Coulibaly",1996-04-10,"https://www.transfermarkt.com/lassana-coulibaly/profil/spieler/386552","Central Midfield","Coulibaly",1996
"Lasse Rieß",2001-07-27,"https://www.transfermarkt.com/lasse-riess/profil/spieler/490609","Goalkeeper","Rieß",2001
"Lassine Sinayoko",1999-12-08,"https://www.transfermarkt.com/lassine-sinayoko/profil/spieler/569140","Right Winger","Sinayoko",1999
"Laurent Abergel",1993-02-01,"https://www.transfermarkt.com/laurent-abergel/profil/spieler/238626","Defensive Midfield","Abergel",1993
"Laurin Ulrich",2005-01-31,"https://www.transfermarkt.com/laurin-ulrich/profil/spieler/717465","Attacking Midfield","Ulrich",2005
"Lautaro Blanco",1999-02-19,"https://www.transfermarkt.com/lautaro-blanco/profil/spieler/831161","Left-Back","Blanco",1999
"Lautaro Martínez",1997-08-22,"https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625","Centre-Forward","Martínez",1997
"Layvin Kurzawa",1992-09-04,"https://www.transfermarkt.com/layvin-kurzawa/profil/spieler/126710","Left-Back","Kurzawa",1992
"Lazar Samardzic",2002-02-24,"https://www.transfermarkt.com/lazar-samardzic/profil/spieler/528833","Attacking Midfield","Samardzic",2002
"Lázaro",2002-03-12,"https://www.transfermarkt.com/lazaro/profil/spieler/574772","Left Winger","Lázaro",2002
"Leander Dendoncker",1995-04-15,"https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157","Defensive Midfield","Dendoncker",1995
"Leandro Barreiro",2000-01-03,"https://www.transfermarkt.com/leandro-barreiro/profil/spieler/357233","Central Midfield","Barreiro",2000
"Leandro Cabrera",1991-06-17,"https://www.transfermarkt.com/leandro-cabrera/profil/spieler/102423","Centre-Back","Cabrera",1991
"Leandro Paredes",1994-06-29,"https://www.transfermarkt.com/leandro-paredes/profil/spieler/166237","Defensive Midfield","Paredes",1994
"Leandro Trossard",1994-12-04,"https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028","Left Winger","Trossard",1994
"Lebo Mothiba",1996-01-28,"https://www.transfermarkt.com/lebo-mothiba/profil/spieler/427161","Centre-Forward","Mothiba",1996
"Lee Buchanan",2001-03-07,"https://www.transfermarkt.com/lee-buchanan/profil/spieler/532539","Left-Back","Buchanan",2001
"Lennart Grill",1999-01-25,"https://www.transfermarkt.com/lennart-grill/profil/spieler/309397","Goalkeeper","Grill",1999
"Leny Yoro",2005-11-13,"https://www.transfermarkt.com/leny-yoro/profil/spieler/923831","Centre-Back","Yoro",2005
