"country","country_url","league_name","league_url","has_leage_page"
"Guyana","https://fbref.com/en/country/GUY/Guyana-Football",NA,NA,FALSE
"Haiti","https://fbref.com/en/country/HAI/Haiti-Football",NA,NA,FALSE
"Honduras","https://fbref.com/en/country/HON/Honduras-Football",NA,NA,FALSE
"Hong Kong","https://fbref.com/en/country/HKG/Hong-Kong-Football",NA,NA,FALSE
"Hungary","https://fbref.com/en/country/HUN/Hungary-Football","Nemzeti Bajnokság I (M)","https://fbref.com/en/comps/46/history/NB-I-Seasons",TRUE
"Iceland","https://fbref.com/en/country/ISL/Iceland-Football",NA,NA,FALSE
"India","https://fbref.com/en/country/IND/India-Football","Indian Super League (M),
Indian I-League (M)","https://fbref.com/en/comps/82/history/Indian-Super-League-Seasons,
https://fbref.com/en/comps/378/history/I-League-Seasons",TRUE
"Indonesia","https://fbref.com/en/country/IDN/Indonesia-Football",NA,NA,FALSE
"Iran","https://fbref.com/en/country/IRN/Iran-Football","Persian Gulf Pro League (M)","https://fbref.com/en/comps/64/history/Persian-Gulf-Pro-League-Seasons",TRUE
"Iraq","https://fbref.com/en/country/IRQ/Iraq-Football",NA,NA,FALSE
"Ireland","https://fbref.com/en/country/IRL/Republic-of-Ireland-Football",NA,NA,FALSE
"Israel","https://fbref.com/en/country/ISR/Israel-Football",NA,NA,FALSE
"Italy","https://fbref.com/en/country/ITA/Italy-Football","Serie A (M),
Serie A (F),
Serie B (M),
Coppa Italia (M),
Supercoppa Italiana (M)","https://fbref.com/en/comps/11/history/Serie-A-Seasons,
https://fbref.com/en/comps/208/history/Serie-A-Seasons,
https://fbref.com/en/comps/18/history/Serie-B-Seasons,
https://fbref.com/en/comps/529/history/Coppa-Italia-Seasons,
https://fbref.com/en/comps/612/history/Supercoppa-Italiana-Seasons",TRUE
"Ivory Coast","https://fbref.com/en/country/CIV/Cote-dIvoire-Football",NA,NA,FALSE
"Jamaica","https://fbref.com/en/country/JAM/Jamaica-Football",NA,NA,FALSE
"Japan","https://fbref.com/en/country/JPN/Japan-Football","J1 League (M),
J2 League (M)","https://fbref.com/en/comps/25/history/J1-League-Seasons,
https://fbref.com/en/comps/49/history/J2-League-Seasons",TRUE
"Jordan","https://fbref.com/en/country/JOR/Jordan-Football",NA,NA,FALSE
"Kazakhstan","https://fbref.com/en/country/KAZ/Kazakhstan-Football",NA,NA,FALSE
"Kenya","https://fbref.com/en/country/KEN/Kenya-Football",NA,NA,FALSE
"Kosovo","https://fbref.com/en/country/KVX/Kosovo-Football",NA,NA,FALSE
"Kuwait","https://fbref.com/en/country/KUW/Kuwait-Football",NA,NA,FALSE
"Kyrgyzstan","https://fbref.com/en/country/KGZ/Kyrgyzstan-Football",NA,NA,FALSE
"Laos","https://fbref.com/en/country/LAO/Laos-Football",NA,NA,FALSE
"Latvia","https://fbref.com/en/country/LVA/Latvia-Football",NA,NA,FALSE
"Lebanon","https://fbref.com/en/country/LIB/Lebanon-Football",NA,NA,FALSE
"Lesotho","https://fbref.com/en/country/LES/Lesotho-Football",NA,NA,FALSE
"Liberia","https://fbref.com/en/country/LBR/Liberia-Football",NA,NA,FALSE
"Libya","https://fbref.com/en/country/LBY/Libya-Football",NA,NA,FALSE
"Liechtenstein","https://fbref.com/en/country/LIE/Liechtenstein-Football",NA,NA,FALSE
"Lithuania","https://fbref.com/en/country/LTU/Lithuania-Football",NA,NA,FALSE
"Luxembourg","https://fbref.com/en/country/LUX/Luxembourg-Football",NA,NA,FALSE
"Macau","https://fbref.com/en/country/MAC/Macau-Football",NA,NA,FALSE
"Madagascar","https://fbref.com/en/country/MAD/Madagascar-Football",NA,NA,FALSE
"Malawi","https://fbref.com/en/country/MWI/Malawi-Football",NA,NA,FALSE
"Malaysia","https://fbref.com/en/country/MAS/Malaysia-Football",NA,NA,FALSE
"Maldives","https://fbref.com/en/country/MDV/Maldives-Football",NA,NA,FALSE
"Mali","https://fbref.com/en/country/MLI/Mali-Football",NA,NA,FALSE
"Malta","https://fbref.com/en/country/MLT/Malta-Football",NA,NA,FALSE
"Martinique","https://fbref.com/en/country/MTQ/Martinique-Football",NA,NA,FALSE
"Mauritania","https://fbref.com/en/country/MTN/Mauritania-Football",NA,NA,FALSE
"Mauritius","https://fbref.com/en/country/MRI/Mauritius-Football",NA,NA,FALSE
"Mexico","https://fbref.com/en/country/MEX/Mexico-Football","Liga MX (M)","https://fbref.com/en/comps/31/history/Liga-MX-Seasons",TRUE
"Moldova","https://fbref.com/en/country/MDA/Moldova-Football",NA,NA,FALSE
"Mongolia","https://fbref.com/en/country/MNG/Mongolia-Football",NA,NA,FALSE
"Montenegro","https://fbref.com/en/country/MNE/Montenegro-Football",NA,NA,FALSE
"Montserrat","https://fbref.com/en/country/MSR/Montserrat-Football",NA,NA,FALSE
"Morocco","https://fbref.com/en/country/MAR/Morocco-Football",NA,NA,FALSE
"Mozambique","https://fbref.com/en/country/MOZ/Mozambique-Football",NA,NA,FALSE
"Myanmar","https://fbref.com/en/country/MYA/Myanmar-Football",NA,NA,FALSE
"Namibia","https://fbref.com/en/country/NAM/Namibia-Football",NA,NA,FALSE
"Nepal","https://fbref.com/en/country/NEP/Nepal-Football",NA,NA,FALSE
